"Name","Address","Company","Signal Level","Frequency","Channel","Security","Cipher","BSS Type","WPS Support","Time","Longitude","Latitude"
"Linksys327","60:38:E0:D7:9B:30","","-33","2452","9","WPA-PSK + WPA2-PSK","TKIP + CCMP","Infrastructure","Yes","2018/11/30 12:37:54","-78.92161","36.00305"
"~DDMF~ Guest","84:16:F9:5E:4B:B7","","-59","2432","5","WPA2-PSK","CCMP","Infrastructure","Yes","2018/11/30 12:37:54","-78.92161","36.00305"
"WiFieri","60:38:E0:D7:DB:E4","","-47","2457","10","WPA-PSK + WPA2-PSK","TKIP + CCMP","Infrastructure","Yes","2018/11/30 12:37:54","-78.92161","36.00305"
"Linksys19303","60:38:E0:D9:78:62","","-52","2462","11","WPA2-PSK","CCMP","Infrastructure","Yes","2018/11/30 12:35:53","-78.92227","36.00302"
"Swifty 229","60:38:E0:D7:BF:C0","","-53","2452","9","WPA-PSK + WPA2-PSK","TKIP + CCMP","Infrastructure","Yes","2018/11/30 12:37:54","-78.92161","36.00305"
"Linksys02581","60:38:E0:D7:B2:04","","-55","2432","5","WPA2-PSK","CCMP","Infrastructure","Yes","2018/11/30 12:37:54","-78.92161","36.00305"
"Linksys18478","60:38:E0:D9:6B:7E","","-64","2452","9","WPA2-PSK","CCMP","Infrastructure","Yes","2018/11/30 12:35:54","-78.92227","36.00302"
"Linksys00916","60:38:E0:D7:98:00","","-67","2412","1","WPA2-PSK","CCMP","Infrastructure","Yes","2018/11/30 12:37:54","-78.92161","36.00305"
"Linksys17537","60:38:E0:D9:5C:CA","","-73","2422","3","WPA2-PSK","CCMP","Infrastructure","Yes","2018/11/30 12:37:54","-78.92161","36.00305"
"Linksys327-guest","62:38:E0:D4:9B:30","","-32","2452","9","None","None","Infrastructure","No","2018/11/30 12:37:54","-78.92161","36.00305"
"WiFieri-guest","62:38:E0:D4:DB:E4","","-50","2457","10","None","None","Infrastructure","No","2018/11/30 12:35:54","-78.92227","36.00302"
"","FA:8F:CA:80:6F:37","","-51","2457","10","None","None","Infrastructure","No","2018/11/30 12:37:54","-78.92161","36.00305"
"Swifty 229-guest","62:38:E0:D4:BF:C0","","-55","2452","9","None","None","Infrastructure","No","2018/11/30 12:37:54","-78.92161","36.00305"
"Linksys19303-guest","62:38:E0:D8:78:62","","-58","2462","11","None","None","Infrastructure","No","2018/11/30 12:37:54","-78.92161","36.00305"
"Clout Factory-guest","62:38:E0:D8:17:63","","-72","2447","8","None","None","Infrastructure","No","2018/11/30 12:37:54","-78.92161","36.00305"
"Linksys02475-guest","62:38:E0:D4:B0:5C","","-80","2437","6","None","None","Infrastructure","No","2018/11/30 12:37:54","-78.92161","36.00305"
"Swifty222-guest","62:38:E0:D4:DF:44","","-87","2462","11","None","None","Infrastructure","No","2018/11/30 12:37:54","-78.92161","36.00305"
"misskeisha_guest","B0:6E:BF:DA:48:49","","-54","2437","6","WPA2-PSK","CCMP","Infrastructure","No","2018/11/30 12:37:54","-78.92161","36.00305"
