"Name","Address","Company","Signal Level","Frequency","Channel","Security","Cipher","BSS Type","WPS Support","Time","Longitude","Latitude"
"Dukeblue","D8:24:BD:A1:21:52","CISCO SYSTEMS, INC.","-26","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/11/19 16:59:46","-78.94283","36.00375"
"clubs","D8:24:BD:A1:21:54","CISCO SYSTEMS, INC.","-26","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/11/19 16:59:46","-78.94283","36.00375"
"eduroam","D8:24:BD:A1:21:51","CISCO SYSTEMS, INC.","-25","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/11/19 16:59:46","-78.94283","36.00375"
"Dukeblue","D4:A0:2A:11:8A:B2","CISCO SYSTEMS, INC.","-61","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/11/19 16:59:46","-78.94283","36.00375"
"eduroam","D4:A0:2A:11:8A:B1","CISCO SYSTEMS, INC.","-62","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/11/19 16:59:46","-78.94283","36.00375"
"clubs","D4:A0:2A:11:8A:B4","CISCO SYSTEMS, INC.","-61","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/11/19 16:59:46","-78.94283","36.00375"
"eduroam","D4:A0:2A:15:8A:51","CISCO SYSTEMS, INC.","-71","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/11/19 16:59:45","-78.94283","36.00375"
"clubs","D4:A0:2A:15:8A:54","CISCO SYSTEMS, INC.","-77","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/11/19 16:59:46","-78.94283","36.00375"
"Dukeblue","D4:A0:2A:15:8A:52","CISCO SYSTEMS, INC.","-69","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/11/19 16:59:45","-78.94283","36.00375"
"DukeVisitor","D8:24:BD:A1:21:55","CISCO SYSTEMS, INC.","-27","2437","6","None","None","Infrastructure","No","2018/11/19 16:59:46","-78.94283","36.00375"
"DukeOpen","D8:24:BD:A1:21:50","CISCO SYSTEMS, INC.","-26","2437","6","None","None","Infrastructure","No","2018/11/19 16:59:46","-78.94283","36.00375"
"DukeVisitor","D4:A0:2A:11:8A:B5","CISCO SYSTEMS, INC.","-61","2412","1","None","None","Infrastructure","No","2018/11/19 16:59:46","-78.94283","36.00375"
"DukeOpen","D4:A0:2A:11:8A:B0","CISCO SYSTEMS, INC.","-62","2412","1","None","None","Infrastructure","No","2018/11/19 16:59:46","-78.94283","36.00375"
"DukeVisitor","D4:A0:2A:15:8A:55","CISCO SYSTEMS, INC.","-71","2412","1","None","None","Infrastructure","No","2018/11/19 16:59:45","-78.94283","36.00375"
"DukeOpen","D4:A0:2A:15:8A:50","CISCO SYSTEMS, INC.","-77","2412","1","None","None","Infrastructure","No","2018/11/19 16:59:46","-78.94283","36.00375"
"BISmark","4C:60:DE:E6:B2:8F","NETGEAR","-79","2462","11","WPA2-PSK","CCMP","Infrastructure","No","2018/11/19 16:59:46","-78.94283","36.00375"
"aces","2C:3E:CF:A1:AE:A9","Cisco","-85","2437","6","WPA2-PSK","CCMP","Infrastructure","No","2018/11/19 16:59:46","-78.94283","36.00375"
