"Name","Address","Company","Signal Level","Frequency","Channel","Security","Cipher","BSS Type","WPS Support","Time","Longitude","Latitude"
"Dukeblue","00:FE:C8:5A:26:93","","-56","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 11:17:43","-78.93931","36.00121"
"eduroam","00:FE:C8:5A:26:91","","-56","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 11:17:36","-78.93929","36.00112"
"Dukeblue","00:FE:C8:5D:6D:83","","-67","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 11:16:42","",""
"eduroam","00:FE:C8:5D:6D:81","","-67","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 11:16:48","",""
"Dukeblue","00:FE:C8:2F:81:03","","-64","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 11:16:41","",""
"eduroam","00:FE:C8:2F:81:01","","-64","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 11:16:43","",""
"Dukeblue","00:FE:C8:5A:21:43","","-74","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 11:17:13","",""
"Dukeblue","00:FE:C8:21:81:63","","-70","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 11:17:07","",""
"eduroam","00:FE:C8:5D:6F:11","","-77","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 11:17:00","",""
"DIRECT-3d-HP M477 LaserJet","42:49:0F:0F:DF:3D","","-74","2412","1","WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/10 11:16:49","",""
"Dukeblue","00:FE:C8:5D:6F:13","","-76","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 11:17:00","",""
"eduroam","00:FE:C8:21:81:61","","-72","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 11:16:53","",""
"eduroam","00:FE:C8:3D:C3:C1","","-81","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 11:16:49","",""
"Dukeblue","00:FE:C8:3D:C3:C3","","-79","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 11:16:44","",""
