"Name","Address","Company","Signal Level","Frequency","Channel","Security","Cipher","BSS Type","WPS Support","Time","Longitude","Latitude"
"DIRECT-roku-911-73ED2D","B0:EE:7B:9B:F3:4B","","-90","2437","6","WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/10 18:34:58","-78.92323","35.99999"
"home wireless","78:8A:20:5D:6E:A9","","-81","2412","1","WPA2-PSK","CCMP","Infrastructure","No","2018/12/10 18:34:57","-78.92321","35.99993"
"Home","48:F8:B3:05:A1:28","Cisco-Linksys, LLC","-87","2462","11","WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/10 18:34:56","-78.92321","35.99993"
"TranceWarriors","40:70:09:75:ED:B0","ARRIS Group, Inc.","-84","2462","11","WPA2-PSK","CCMP","Infrastructure","No","2018/12/10 18:34:58","-78.92323","35.99999"
"MySpectrumWiFic4-2G","34:6B:46:5B:F8:CA","","-89","2462","11","WPA2-PSK","CCMP","Infrastructure","No","2018/12/10 18:35:04","-78.92326","36.00004"
"1002-guest","32:FD:38:E9:65:40","","-87","2437","6","WPA2-PSK","CCMP","Infrastructure","No","2018/12/10 18:34:58","-78.92323","35.99999"
"Skynet","14:91:82:75:DA:FF","","-88","2437","6","WPA-PSK + WPA2-PSK","TKIP + CCMP","Infrastructure","Yes","2018/12/10 18:34:53","-78.92321","35.99993"
"1002","30:FD:38:E9:63:B6","","-80","2412","1","WPA2-PSK","CCMP","Infrastructure","No","2018/12/10 18:34:53","-78.92321","35.99993"
"ChezPoweNew","E4:F0:42:C2:1A:91","","-86","2437","6","WPA2-PSK","CCMP","Infrastructure","No","2018/12/10 18:38:07","-78.92689","36.00014"
"1002-guest","32:FD:38:E9:63:B4","","-85","2412","1","WPA2-PSK","CCMP","Infrastructure","No","2018/12/10 18:34:53","-78.92321","35.99993"
"Home","C8:D7:19:1F:BC:20","Cisco Consumer Products, LLC","-90","2462","11","WPA-PSK + WPA2-PSK","TKIP + CCMP","Infrastructure","Yes","2018/12/10 18:35:01","-78.92326","36.00004"
"1002","30:FD:38:E9:65:42","","-88","2437","6","WPA2-PSK","CCMP","Infrastructure","No","2018/12/10 18:34:56","-78.92321","35.99993"
"NetName","14:CF:E2:C0:91:80","ARRIS Group, Inc.","-92","2462","11","WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/10 18:35:01","-78.92326","36.00004"
"home wireless","80:2A:A8:9A:E6:93","","-85","2437","6","WPA2-PSK","CCMP","Infrastructure","No","2018/12/10 18:38:07","-78.92689","36.00014"
"TP-Link_7550","0C:80:63:F3:75:50","","-75","2442","7","WPA-PSK + WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/10 18:38:27","-78.92949","35.99986"
"attwifi","C4:71:FE:5B:D9:00","CISCO SYSTEMS, INC.","-91","2412","1","None","None","Infrastructure","No","2018/12/10 18:38:27","-78.92949","35.99986"
"DIRECT-78-HP DeskJet 2600 series","C8:D9:D2:5B:BB:79","","-90","2437","6","WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/10 18:38:27","-78.92949","35.99986"
"DukeOpen","D8:24:BD:09:6F:30","CISCO SYSTEMS, INC.","-89","2462","11","None","None","Infrastructure","No","2018/12/10 18:38:27","-78.92949","35.99986"
"attwifi","C4:71:FE:5B:68:10","CISCO SYSTEMS, INC.","-94","2412","1","None","None","Infrastructure","No","2018/12/10 18:38:27","-78.92949","35.99986"
"Dukeblue","D8:24:BD:09:6F:32","CISCO SYSTEMS, INC.","-68","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 18:38:48","-78.92996","36.00003"
"Dukeblue","A4:18:75:42:ED:E2","CISCO SYSTEMS, INC.","-85","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 18:38:27","-78.92949","35.99986"
"eduroam","A4:18:75:42:ED:E1","CISCO SYSTEMS, INC.","-87","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 18:38:27","-78.92949","35.99986"
"","D8:24:BD:09:6F:34","CISCO SYSTEMS, INC.","-85","2462","11","None","None","Infrastructure","No","2018/12/10 18:38:27","-78.92949","35.99986"
"DukeOpen","A0:23:9F:B4:81:00","","-50","2462","11","None","None","Infrastructure","No","2018/12/10 18:38:48","-78.92996","36.00003"
"DukeVisitor","A4:18:75:42:ED:E3","CISCO SYSTEMS, INC.","-87","2412","1","None","None","Infrastructure","No","2018/12/10 18:38:45","-78.92996","36.00003"
"Dukeblue","A0:23:9F:B4:81:02","","-50","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 18:38:48","-78.92996","36.00003"
"eduroam","A0:23:9F:B4:81:01","","-51","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 18:38:48","-78.92996","36.00003"
"eduroam","A4:18:75:42:EE:41","CISCO SYSTEMS, INC.","-82","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 18:38:52","-78.93001","36.0001"
"Dukeblue","A4:18:75:42:EE:42","CISCO SYSTEMS, INC.","-80","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 18:38:35","-78.92991","36"
"DukeVisitor","A0:23:9F:B4:81:03","","-52","2462","11","None","None","Infrastructure","No","2018/12/10 18:38:48","-78.92996","36.00003"
"DukeVisitor","38:90:A5:65:77:23","","-81","2412","1","None","None","Infrastructure","No","2018/12/10 18:38:45","-78.92996","36.00003"
"DukeVisitor","A4:18:75:42:EE:43","CISCO SYSTEMS, INC.","-80","2437","6","None","None","Infrastructure","No","2018/12/10 18:38:35","-78.92991","36"
"DukeOpen","A4:18:75:42:EE:40","CISCO SYSTEMS, INC.","-81","2437","6","None","None","Infrastructure","No","2018/12/10 18:38:35","-78.92991","36"
"eduroam","00:C1:64:E6:F4:B1","","-86","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 18:39:22","-78.93308","35.99913"
"ETC-Studio","48:A1:95:EA:67:74","","-85","2462","11","WPA2-PSK","CCMP","Infrastructure","No","2018/12/10 18:38:48","-78.92996","36.00003"
"DukeVisitor","00:C1:64:E6:F5:53","","-79","2437","6","None","None","Infrastructure","No","2018/12/10 18:39:16","-78.93248","35.99945"
"Dukeblue","00:C1:64:E6:F4:B2","","-86","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 18:38:48","-78.92996","36.00003"
"eduroam","00:C1:64:E6:F5:51","","-77","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 18:39:16","-78.93248","35.99945"
"","00:C1:64:E6:F4:B4","","-85","2437","6","None","None","Infrastructure","No","2018/12/10 18:38:48","-78.92996","36.00003"
"","A4:18:75:42:EE:44","CISCO SYSTEMS, INC.","-81","2437","6","None","None","Infrastructure","No","2018/12/10 18:38:34","-78.92991","36"
"DukeVisitor","00:A3:8E:4C:6B:23","","-78","2412","1","None","None","Infrastructure","No","2018/12/10 18:38:52","-78.93001","36.0001"
"DukeOpen","00:A3:8E:4C:6B:20","","-79","2412","1","None","None","Infrastructure","No","2018/12/10 18:38:52","-78.93001","36.0001"
"Dukeblue","00:C1:64:E6:F5:52","","-80","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 18:39:02","-78.93095","36.0002"
"","00:C1:64:E6:F5:54","","-81","2437","6","None","None","Infrastructure","No","2018/12/10 18:39:15","-78.93238","35.99953"
"DukeOpen","00:C1:64:E6:F5:50","","-79","2437","6","None","None","Infrastructure","No","2018/12/10 18:39:01","-78.93081","36.00022"
"eduroam","D4:A0:2A:11:E6:E1","CISCO SYSTEMS, INC.","-81","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 18:39:01","-78.93081","36.00022"
"Dukeblue","D4:A0:2A:11:E6:E2","CISCO SYSTEMS, INC.","-82","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 18:38:59","-78.93067","36.00022"
"DukeVisitor","00:27:E3:66:C5:C3","","-75","2462","11","None","None","Infrastructure","No","2018/12/10 18:38:55","-78.9302","36.00016"
"eduroam","00:27:E3:66:C5:C1","","-75","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 18:39:12","-78.9322","35.99967"
"Dukeblue","00:27:E3:66:C5:C2","","-75","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 18:39:12","-78.9322","35.99967"
"DIRECT-C5-HP PageWide Pro 477dw","96:57:A5:0F:11:C5","","-81","2437","6","WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/10 18:39:00","-78.93067","36.00022"
"DukeOpen","00:27:E3:66:C5:C0","","-78","2462","11","None","None","Infrastructure","No","2018/12/10 18:39:12","-78.93211","35.99975"
"DukeVisitor","00:A3:8E:4C:15:43","","-78","2462","11","None","None","Infrastructure","No","2018/12/10 18:39:11","-78.93201","35.99982"
"DukeOpen","00:A3:8E:4C:15:40","","-79","2462","11","None","None","Infrastructure","No","2018/12/10 18:39:11","-78.93201","35.99982"
"DukeVisitor","D4:A0:2A:11:E6:E3","CISCO SYSTEMS, INC.","-80","2412","1","None","None","Infrastructure","No","2018/12/10 18:38:59","-78.93067","36.00022"
"DukeOpen","00:C1:64:E6:F4:B0","","-86","2437","6","None","None","Infrastructure","No","2018/12/10 18:39:02","-78.93095","36.0002"
"","D8:24:BD:D5:FD:44","CISCO SYSTEMS, INC.","-75","2412","1","None","None","Infrastructure","No","2018/12/10 18:39:17","-78.93258","35.99939"
"","D4:A0:2A:11:E6:E4","CISCO SYSTEMS, INC.","-85","2412","1","None","None","Infrastructure","No","2018/12/10 18:39:13","-78.9322","35.99967"
"DukeOpen","D4:A0:2A:11:E6:E0","CISCO SYSTEMS, INC.","-80","2412","1","None","None","Infrastructure","No","2018/12/10 18:38:59","-78.93067","36.00022"
"Dukeblue","D8:24:BD:D5:FD:42","CISCO SYSTEMS, INC.","-70","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 18:39:02","-78.93109","36.00018"
"eduroam","D8:24:BD:D5:FD:41","CISCO SYSTEMS, INC.","-70","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 18:39:04","-78.93123","36.00017"
"DukeVisitor","D8:24:BD:D5:FD:43","CISCO SYSTEMS, INC.","-70","2412","1","None","None","Infrastructure","No","2018/12/10 18:39:20","-78.93297","35.99917"
"eduroam","00:C1:64:F2:32:61","","-63","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 18:39:25","-78.93352","35.99905"
"DukeOpen","D8:24:BD:D5:FD:40","CISCO SYSTEMS, INC.","-71","2412","1","None","None","Infrastructure","No","2018/12/10 18:39:18","-78.93267","35.99933"
"DukeVisitor","08:CC:68:91:19:53","Cisco","-75","2437","6","None","None","Infrastructure","No","2018/12/10 18:39:06","-78.93147","36.00011"
"eduroam","08:CC:68:91:19:51","Cisco","-73","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 18:39:22","-78.93308","35.99913"
"DukeOpen","00:C1:64:F2:32:60","","-62","2412","1","None","None","Infrastructure","No","2018/12/10 18:39:25","-78.93352","35.99905"
"DukeOpen","08:CC:68:91:19:50","Cisco","-74","2437","6","None","None","Infrastructure","No","2018/12/10 18:39:06","-78.93147","36.00011"
"Dukeblue","08:CC:68:91:19:52","Cisco","-75","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 18:39:06","-78.93147","36.00011"
"Dukeblue","00:C1:64:F2:32:62","","-62","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 18:39:25","-78.93352","35.99905"
"","00:C1:64:F2:32:64","","-72","2412","1","None","None","Infrastructure","No","2018/12/10 18:39:25","-78.93342","35.99907"
"DukeVisitor","00:C1:64:F2:32:63","","-60","2412","1","None","None","Infrastructure","No","2018/12/10 18:39:26","-78.93361","35.99904"
