"Name","Address","Company","Signal Level","Frequency","Channel","Security","Cipher","BSS Type","WPS Support","Time","Longitude","Latitude"
"DukeVisitor","00:FE:C8:5D:6D:B3","","-88","2437","6","None","None","Infrastructure","No","2018/12/10 11:53:51","-78.92514","36.0005"
"TP-Link_7550","0C:80:63:F3:75:50","","-81","2442","7","WPA-PSK + WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/10 11:53:51","-78.92514","36.0005"
"Skynet","14:91:82:75:DA:FF","","-83","2437","6","WPA-PSK + WPA2-PSK","TKIP + CCMP","Infrastructure","Yes","2018/12/10 11:53:58","-78.92416","36.00037"
"home wireless","80:2A:A8:9A:E6:93","","-83","2437","6","WPA2-PSK","CCMP","Infrastructure","No","2018/12/10 11:54:05","-78.92354","36.00012"
"home wireless","78:8A:20:5D:6E:A9","","-82","2412","1","WPA2-PSK","CCMP","Infrastructure","No","2018/12/10 11:54:13","-78.92335","36.00013"
"1002-guest","32:FD:38:E9:63:B4","","-86","2412","1","WPA2-PSK","CCMP","Infrastructure","No","2018/12/10 11:54:09","-78.92348","36.0001"
"1002","30:FD:38:E9:63:B6","","-85","2412","1","WPA2-PSK","CCMP","Infrastructure","No","2018/12/10 11:54:15","-78.92315","36.0001"
"NetName","14:CF:E2:C0:91:80","ARRIS Group, Inc.","-87","2462","11","WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/10 11:54:07","-78.92348","36.0001"
"1002","30:FD:38:E9:65:42","","-83","2437","6","WPA2-PSK","CCMP","Infrastructure","No","2018/12/10 11:54:18","-78.92288","36.00003"
"MySpectrumWiFic4-2G","34:6B:46:5B:F8:CA","","-90","2462","11","WPA2-PSK","CCMP","Infrastructure","No","2018/12/10 11:54:18","-78.92273","35.99999"
"1002-guest","32:FD:38:E9:65:40","","-83","2437","6","WPA2-PSK","CCMP","Infrastructure","No","2018/12/10 11:54:18","-78.92288","36.00003"
"DIRECT-roku-911-73ED2D","B0:EE:7B:9B:F3:4B","","-90","2437","6","WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/10 11:54:08","-78.92348","36.0001"
"Home","48:F8:B3:05:A1:28","Cisco-Linksys, LLC","-90","2462","11","WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/10 11:54:21","-78.92218","35.99985"
"1002-guest","32:FD:38:E9:64:BC","","-94","2412","1","WPA2-PSK","CCMP","Infrastructure","No","2018/12/10 11:54:21","-78.92218","35.99985"
"TranceWarriors","40:70:09:75:ED:B0","ARRIS Group, Inc.","-89","2462","11","WPA2-PSK","CCMP","Infrastructure","No","2018/12/10 11:54:19","-78.92256","35.99994"
"1002","38:8B:59:C6:22:1B","","-89","2412","1","WPA2-PSK","CCMP","Infrastructure","No","2018/12/10 11:54:21","-78.92218","35.99985"
"1002-guest","3A:8B:59:C6:22:18","","-90","2412","1","WPA2-PSK","CCMP","Infrastructure","No","2018/12/10 11:54:21","-78.92218","35.99985"
"","D4:A0:2A:4A:4E:14","CISCO SYSTEMS, INC.","-84","2412","1","None","None","Infrastructure","No","2018/12/10 11:54:21","-78.92218","35.99985"
"Dukeblue","D4:A0:2A:4A:4E:12","CISCO SYSTEMS, INC.","-82","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 11:54:21","-78.92218","35.99985"
"eduroam","D4:A0:2A:4A:4E:11","CISCO SYSTEMS, INC.","-84","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 11:54:21","-78.92218","35.99985"
"DukeVisitor","D4:A0:2A:4A:4E:13","CISCO SYSTEMS, INC.","-82","2412","1","None","None","Infrastructure","No","2018/12/10 11:54:21","-78.92218","35.99985"
"DukeOpen","D4:A0:2A:4A:4E:10","CISCO SYSTEMS, INC.","-84","2412","1","None","None","Infrastructure","No","2018/12/10 11:54:21","-78.92218","35.99985"
"ChezPoweNew","E4:F0:42:C2:1A:91","","-93","2437","6","WPA2-PSK","CCMP","Infrastructure","No","2018/12/10 11:54:44","-78.91905","36.00074"
"MySpectrumWiFi40-2G","28:9E:FC:6B:90:46","","-91","2437","6","WPA2-PSK","CCMP","Infrastructure","No","2018/12/10 11:54:59","-78.91884","36.00102"
"MySpectrumWiFif8-2G","A0:39:EE:6E:4D:FE","","-93","2412","1","WPA2-PSK","CCMP","Infrastructure","No","2018/12/10 11:55:06","-78.91883","36.00097"
"Dukeblue","C4:0A:CB:DF:58:F3","CISCO SYSTEMS, INC.","-82","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 11:57:27","-78.91528","36.00525"
"","C4:0A:CB:DF:58:F4","CISCO SYSTEMS, INC.","-84","2412","1","None","None","Infrastructure","No","2018/12/10 11:57:27","-78.91528","36.00525"
"DukeVisitor","C4:0A:CB:DF:58:F2","CISCO SYSTEMS, INC.","-83","2412","1","None","None","Infrastructure","No","2018/12/10 11:57:27","-78.91528","36.00525"
"Dukeblue","88:75:56:6E:6F:63","Cisco","-85","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 11:57:27","-78.91528","36.00525"
"eduroam","88:75:56:6E:6F:61","Cisco","-84","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 11:56:43","-78.9177","36.00265"
"DukeOpen","88:75:56:6E:6F:60","Cisco","-84","2437","6","None","None","Infrastructure","No","2018/12/10 11:56:43","-78.9177","36.00265"
"eduroam","D8:24:BD:B4:CE:01","CISCO SYSTEMS, INC.","-90","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 11:57:27","-78.91528","36.00525"
"Dukeblue","D8:24:BD:B4:CE:04","CISCO SYSTEMS, INC.","-91","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 11:57:27","-78.91528","36.00525"
"DukeOpen","C4:0A:CB:DF:58:F0","CISCO SYSTEMS, INC.","-85","2412","1","None","None","Infrastructure","No","2018/12/10 11:57:27","-78.91528","36.00525"
"DukeVisitor","88:75:56:6E:6F:62","Cisco","-85","2437","6","None","None","Infrastructure","No","2018/12/10 11:56:43","-78.9177","36.00265"
"DukeVisitor","D8:24:BD:B4:CE:03","CISCO SYSTEMS, INC.","-89","2412","1","None","None","Infrastructure","No","2018/12/10 11:57:27","-78.91528","36.00525"
"eduroam","C4:0A:CB:DF:58:F1","CISCO SYSTEMS, INC.","-83","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 11:57:27","-78.91528","36.00525"
"eduroam","08:CC:68:91:18:C1","Cisco","-85","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 11:57:27","-78.91528","36.00525"
"Dukeblue","08:CC:68:91:18:C4","Cisco","-89","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 11:57:27","-78.91528","36.00525"
"","08:CC:68:91:18:C5","Cisco","-83","2437","6","None","None","Infrastructure","No","2018/12/10 11:57:27","-78.91528","36.00525"
"DukeVisitor","08:CC:68:91:18:C3","Cisco","-85","2437","6","None","None","Infrastructure","No","2018/12/10 11:57:27","-78.91528","36.00525"
"","88:75:56:6E:6F:64","Cisco","-88","2437","6","None","None","Infrastructure","No","2018/12/10 11:57:27","-78.91528","36.00525"
"DukeOpen","08:CC:68:91:18:C0","Cisco","-88","2437","6","None","None","Infrastructure","No","2018/12/10 11:57:27","-78.91528","36.00525"
"","08:CC:68:91:18:C2","Cisco","-90","2437","6","None","None","Infrastructure","No","2018/12/10 11:57:27","-78.91528","36.00525"
"DIRECT-af-HP M452 LaserJet","1A:4F:32:67:59:AF","","-83","2437","6","WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/10 11:57:28","-78.91521","36.00527"
"eduroam","D4:A0:2A:48:D7:C1","CISCO SYSTEMS, INC.","-83","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 11:57:28","-78.91521","36.00527"
"Dukeblue","D4:A0:2A:48:D7:C4","CISCO SYSTEMS, INC.","-82","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 11:57:38","-78.9151","36.00562"
"DukeOpen","D4:A0:2A:48:D7:C0","CISCO SYSTEMS, INC.","-82","2437","6","None","None","Infrastructure","No","2018/12/10 11:57:28","-78.91521","36.00527"
"DukeVisitor","D4:A0:2A:48:D7:C3","CISCO SYSTEMS, INC.","-83","2437","6","None","None","Infrastructure","No","2018/12/10 11:57:28","-78.91521","36.00527"
"","D4:A0:2A:48:D7:C2","CISCO SYSTEMS, INC.","-86","2437","6","None","None","Infrastructure","No","2018/12/10 11:57:28","-78.91521","36.00527"
"DukeVisitor","C4:0A:CB:A5:2B:83","CISCO SYSTEMS, INC.","-85","2462","11","None","None","Infrastructure","No","2018/12/10 11:59:45","-78.91512","36.00561"
"DukeOpen","C4:0A:CB:A5:2B:80","CISCO SYSTEMS, INC.","-86","2462","11","None","None","Infrastructure","No","2018/12/10 11:59:23","-78.91512","36.00566"
"DIRECT-bf-HP M452 LaserJet","4A:E2:44:B9:B0:BF","","-73","2437","6","WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/10 11:57:30","-78.91516","36.00529"
"Dukeblue","C4:0A:CB:DF:3A:04","CISCO SYSTEMS, INC.","-68","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 11:57:45","-78.91503","36.006"
"Dukeblue","C4:0A:CB:B2:87:34","CISCO SYSTEMS, INC.","-79","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 11:57:45","-78.91503","36.006"
"eduroam","C4:0A:CB:B2:87:31","CISCO SYSTEMS, INC.","-79","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 11:57:28","-78.91521","36.00527"
"eduroam","C4:0A:CB:DF:3A:01","CISCO SYSTEMS, INC.","-69","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 11:57:37","-78.9151","36.00554"
"eduroam","D4:A0:2A:15:77:11","CISCO SYSTEMS, INC.","-77","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 11:57:33","-78.91511","36.00533"
"Dukeblue","D4:A0:2A:15:77:14","CISCO SYSTEMS, INC.","-77","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 11:57:33","-78.91511","36.00533"
"DukeOpen","C4:0A:CB:DF:3A:00","CISCO SYSTEMS, INC.","-70","2462","11","None","None","Infrastructure","No","2018/12/10 11:57:45","-78.91503","36.006"
"DukeVisitor","C4:0A:CB:B2:87:33","CISCO SYSTEMS, INC.","-78","2412","1","None","None","Infrastructure","No","2018/12/10 11:57:30","-78.91516","36.00529"
"DukeVisitor","C4:0A:CB:DF:3A:03","CISCO SYSTEMS, INC.","-69","2462","11","None","None","Infrastructure","No","2018/12/10 11:57:46","-78.9149","36.00606"
"DukeOpen","C4:0A:CB:B2:87:30","CISCO SYSTEMS, INC.","-80","2412","1","None","None","Infrastructure","No","2018/12/10 11:57:29","-78.91521","36.00527"
"","C4:0A:CB:DF:3A:02","CISCO SYSTEMS, INC.","-68","2462","11","None","None","Infrastructure","No","2018/12/10 11:57:45","-78.91503","36.006"
"DukeOpen","D4:A0:2A:15:77:10","CISCO SYSTEMS, INC.","-77","2412","1","None","None","Infrastructure","No","2018/12/10 11:57:34","-78.91508","36.0054"
"DukeVisitor","D4:A0:2A:15:77:13","CISCO SYSTEMS, INC.","-78","2412","1","None","None","Infrastructure","No","2018/12/10 11:57:33","-78.91511","36.00533"
"","FA:8F:CA:76:C4:2E","","-94","2437","6","None","None","Infrastructure","No","2018/12/10 11:57:43","-78.91507","36.00595"
"DIRECT-a4-HP M452 LaserJet","4A:E2:44:B9:B0:A4","","-80","2437","6","WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/10 11:59:26","-78.91512","36.00561"
"","C4:0A:CB:B2:87:32","CISCO SYSTEMS, INC.","-89","2412","1","None","None","Infrastructure","No","2018/12/10 11:57:33","-78.91511","36.00533"
"DukeOpen","C4:0A:CB:A4:BC:D0","CISCO SYSTEMS, INC.","-86","2437","6","None","None","Infrastructure","No","2018/12/10 11:57:45","-78.91503","36.006"
"Dukeblue","C4:0A:CB:A4:BC:D4","CISCO SYSTEMS, INC.","-83","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 11:57:45","-78.91503","36.006"
"DukeVisitor","C4:0A:CB:A4:BC:D3","CISCO SYSTEMS, INC.","-84","2437","6","None","None","Infrastructure","No","2018/12/10 11:57:33","-78.91511","36.00533"
"eduroam","C4:0A:CB:A4:BC:D1","CISCO SYSTEMS, INC.","-84","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 11:57:35","-78.91508","36.0054"
"DukeOpen","F0:7F:06:B6:CE:20","","-86","2412","1","None","None","Infrastructure","No","2018/12/10 11:59:41","-78.91512","36.00561"
"eduroam","D8:24:BD:A1:1B:01","CISCO SYSTEMS, INC.","-81","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 11:59:09","-78.91512","36.00566"
"Dukeblue","D8:24:BD:A1:1B:04","CISCO SYSTEMS, INC.","-78","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 11:59:08","-78.91512","36.00566"
