"Name","Address","Company","Signal Level","Frequency","Channel","Security","Cipher","BSS Type","WPS Support","Time","Longitude","Latitude"
"Dukeblue","F4:EA:67:BF:29:42","CISCO SYSTEMS, INC.","-79","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/11 10:14:50","-78.93819","36.00093"
"eduroam","F4:EA:67:BF:29:41","CISCO SYSTEMS, INC.","-79","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/11 10:14:59","-78.93821","36.00088"
"DukeOpen","F4:EA:67:BF:29:40","CISCO SYSTEMS, INC.","-78","2412","1","None","None","Infrastructure","No","2018/12/11 10:14:55","-78.93819","36.00093"
"","F4:EA:67:BF:29:44","CISCO SYSTEMS, INC.","-77","2412","1","None","None","Infrastructure","No","2018/12/11 10:15:01","-78.93817","36.00084"
"DukeVisitor","F4:EA:67:BF:29:43","CISCO SYSTEMS, INC.","-77","2412","1","None","None","Infrastructure","No","2018/12/11 10:14:50","-78.93819","36.00093"
"DIRECT-0a-HP M477 LaserJet","46:1C:A8:25:F2:0A","","-76","2437","6","WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/11 10:14:55","-78.93819","36.00093"
"eduroam","C4:0A:CB:DF:2B:51","CISCO SYSTEMS, INC.","-80","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/11 10:14:31","-78.93819","36.00093"
"Dukeblue","00:F2:8B:40:7D:72","","-67","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/11 10:15:06","-78.93781","36.00068"
"eduroam","00:F2:8B:40:7D:71","","-68","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/11 10:15:06","-78.93781","36.00068"
"DukeOpen","00:F2:8B:40:7D:70","","-69","2462","11","None","None","Infrastructure","No","2018/12/11 10:15:09","-78.93759","36.00062"
"DukeVisitor","00:F2:8B:40:7D:73","","-67","2462","11","None","None","Infrastructure","No","2018/12/11 10:15:06","-78.93781","36.00068"
"XP8800_IELV","02:24:A3:FA:21:17","","-80","2437","6","WPA2-PSK","CCMP","Infrastructure","No","2018/12/11 10:14:57","-78.93819","36.00093"
"DukeVisitor","E8:65:49:EA:9F:33","","-75","2437","6","None","None","Infrastructure","No","2018/12/11 10:14:59","-78.93821","36.00088"
"DukeVisitor","C4:0A:CB:DF:2B:53","CISCO SYSTEMS, INC.","-80","2412","1","None","None","Infrastructure","No","2018/12/11 10:14:41","-78.93819","36.00093"
"","C4:0A:CB:DF:2B:54","CISCO SYSTEMS, INC.","-78","2412","1","None","None","Infrastructure","No","2018/12/11 10:14:22","-78.93819","36.00093"
"DukeOpen","C4:0A:CB:DF:2B:50","CISCO SYSTEMS, INC.","-80","2412","1","None","None","Infrastructure","No","2018/12/11 10:14:41","-78.93819","36.00093"
"Dukeblue","C4:0A:CB:DF:2B:52","CISCO SYSTEMS, INC.","-77","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/11 10:14:22","-78.93819","36.00093"
"eduroam","E8:65:49:EA:9F:31","","-76","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/11 10:15:21","-78.93652","36.00029"
