"Name","Address","Company","Signal Level","Frequency","Channel","Security","Cipher","BSS Type","WPS Support","Time","Longitude","Latitude"
"Dukeblue","C4:0A:CB:A4:C9:D2","CISCO SYSTEMS, INC.","-68","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 09:56:35","",""
"Dukeblue","0C:85:25:AB:12:92","CISCO SYSTEMS, INC.","-62","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 09:56:37","",""
"Dukeblue","D8:24:BD:B4:F0:32","CISCO SYSTEMS, INC.","-73","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 09:56:37","",""
"eduroam","0C:85:25:AB:12:91","CISCO SYSTEMS, INC.","-65","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 09:56:37","",""
"eduroam","D8:24:BD:B4:F0:31","CISCO SYSTEMS, INC.","-72","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 09:56:37","",""
"eduroam","C4:0A:CB:A4:C9:D1","CISCO SYSTEMS, INC.","-66","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 09:56:37","",""
"eduroam","00:42:68:BA:F6:21","","-79","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 09:56:37","",""
"eduroam","64:A0:E7:5F:47:21","CISCO SYSTEMS, INC.","-78","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 09:56:36","",""
"Dukeblue","D8:24:BD:B4:F0:62","CISCO SYSTEMS, INC.","-79","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 09:58:57","",""
"eduroam","D8:24:BD:B4:F0:61","CISCO SYSTEMS, INC.","-79","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 09:56:35","",""
"Dukeblue","00:42:68:BA:F6:22","","-79","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 09:56:37","",""
"Dukeblue","00:42:68:A2:97:C2","","-82","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 09:58:57","",""
"Dukeblue","00:42:68:A5:18:D2","","-81","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 09:56:36","",""
"eduroam","00:42:68:A5:18:D1","","-83","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 09:56:36","",""
"eduroam","00:42:68:A2:97:C1","","-81","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 09:56:37","",""
"Dukeblue","D8:24:BD:85:51:82","CISCO SYSTEMS, INC.","-81","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 09:56:37","",""
"eduroam","C4:0A:CB:24:54:71","CISCO SYSTEMS, INC.","-74","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 09:56:37","",""
"Dukeblue","C4:0A:CB:24:54:72","CISCO SYSTEMS, INC.","-74","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 09:56:37","",""
"Dukeblue","00:42:68:95:A1:72","","-85","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 09:56:37","",""
"eduroam","00:42:68:95:A1:71","","-84","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 09:56:36","",""
"Dukeblue","D8:24:BD:A1:5A:02","CISCO SYSTEMS, INC.","-86","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 09:58:57","",""
"DukeVisitor","D8:24:BD:B4:F0:33","CISCO SYSTEMS, INC.","-71","2437","6","None","None","Infrastructure","No","2018/12/10 09:56:37","",""
"DukeOpen","0C:85:25:AB:12:90","CISCO SYSTEMS, INC.","-63","2462","11","None","None","Infrastructure","No","2018/12/10 09:56:37","",""
"DukeOpen","D8:24:BD:B4:F0:30","CISCO SYSTEMS, INC.","-72","2437","6","None","None","Infrastructure","No","2018/12/10 09:56:37","",""
"DukeVisitor","0C:85:25:AB:12:93","CISCO SYSTEMS, INC.","-63","2462","11","None","None","Infrastructure","No","2018/12/10 09:56:37","",""
"DukeVisitor","C4:0A:CB:A4:C9:D3","CISCO SYSTEMS, INC.","-66","2412","1","None","None","Infrastructure","No","2018/12/10 09:56:37","",""
"DukeOpen","D8:24:BD:B4:F0:60","CISCO SYSTEMS, INC.","-76","2462","11","None","None","Infrastructure","No","2018/12/10 09:58:57","",""
"DukeVisitor","00:42:68:BA:F6:23","","-80","2412","1","None","None","Infrastructure","No","2018/12/10 09:56:36","",""
"DukeVisitor","D8:24:BD:B4:F0:63","CISCO SYSTEMS, INC.","-78","2462","11","None","None","Infrastructure","No","2018/12/10 09:58:57","",""
"DukeOpen","64:A0:E7:5F:47:20","CISCO SYSTEMS, INC.","-79","2412","1","None","None","Infrastructure","No","2018/12/10 09:56:37","",""
"DukeOpen","00:42:68:BA:F6:20","","-78","2412","1","None","None","Infrastructure","No","2018/12/10 09:56:37","",""
"DukeOpen","C4:0A:CB:A4:C9:D0","CISCO SYSTEMS, INC.","-66","2412","1","None","None","Infrastructure","No","2018/12/10 09:56:37","",""
"DukeVisitor","64:A0:E7:5F:47:23","CISCO SYSTEMS, INC.","-78","2412","1","None","None","Infrastructure","No","2018/12/10 09:56:37","",""
"DukeVisitor","00:42:68:A5:18:D3","","-83","2412","1","None","None","Infrastructure","No","2018/12/10 09:58:57","",""
"DukeOpen","00:42:68:A5:18:D0","","-82","2412","1","None","None","Infrastructure","No","2018/12/10 09:56:37","",""
"DukeOpen","D8:24:BD:85:51:80","CISCO SYSTEMS, INC.","-83","2412","1","None","None","Infrastructure","No","2018/12/10 09:59:04","",""
"DukeVisitor","C4:0A:CB:24:54:73","CISCO SYSTEMS, INC.","-76","2462","11","None","None","Infrastructure","No","2018/12/10 09:56:37","",""
"DukeOpen","00:42:68:A2:97:C0","","-80","2412","1","None","None","Infrastructure","No","2018/12/10 09:56:37","",""
"DukeOpen","00:42:68:95:A1:70","","-86","2412","1","None","None","Infrastructure","No","2018/12/10 09:58:57","",""
"DukeVisitor","D8:24:BD:A1:5A:03","CISCO SYSTEMS, INC.","-86","2412","1","None","None","Infrastructure","No","2018/12/10 09:58:57","",""
"DukeVisitor","D8:24:BD:D5:CF:C3","CISCO SYSTEMS, INC.","-82","2437","6","None","None","Infrastructure","No","2018/12/10 09:56:37","",""
"Dukeblue","64:A0:E7:5F:47:22","CISCO SYSTEMS, INC.","-79","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 09:56:37","",""
"Dukeblue","D8:24:BD:D5:CF:C2","CISCO SYSTEMS, INC.","-87","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 09:58:57","",""
"eduroam","D8:24:BD:D5:CF:C1","CISCO SYSTEMS, INC.","-84","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 09:56:37","",""
"DukeOpen","D8:24:BD:A1:5A:00","CISCO SYSTEMS, INC.","-86","2412","1","None","None","Infrastructure","No","2018/12/10 09:58:57","",""
"DukeVisitor","00:42:68:A2:97:C3","","-80","2412","1","None","None","Infrastructure","No","2018/12/10 09:56:37","",""
