"Name","Address","Company","Signal Level","Frequency","Channel","Security","Cipher","BSS Type","WPS Support","Time","Longitude","Latitude"
"Linksys327","60:38:E0:D7:9B:30","","-34","2452","9","WPA-PSK + WPA2-PSK","TKIP + CCMP","Infrastructure","Yes","2018/11/25 11:54:09","-78.92159","36.00263"
"~DDMF~ Guest","84:16:F9:5E:4B:B7","","-59","2417","2","WPA2-PSK","CCMP","Infrastructure","Yes","2018/11/25 11:57:48","-78.92159","36.00263"
"WiFieri","60:38:E0:D7:DB:E4","","-40","2457","10","WPA-PSK + WPA2-PSK","TKIP + CCMP","Infrastructure","Yes","2018/11/25 11:55:44","-78.92159","36.00263"
"misskeisha_guest","B0:6E:BF:DA:48:49","","-57","2437","6","WPA2-PSK","CCMP","Infrastructure","No","2018/11/25 11:55:46","-78.92159","36.00263"
"Linksys02581","60:38:E0:D7:B2:04","","-52","2432","5","WPA2-PSK","CCMP","Infrastructure","Yes","2018/11/25 11:57:48","-78.92159","36.00263"
"Clout Factory","60:38:E0:DB:17:63","","-62","2452","9","WPA-PSK + WPA2-PSK","TKIP + CCMP","Infrastructure","Yes","2018/11/25 11:54:09","-78.92159","36.00263"
"Guest314","60:38:E0:D7:A6:90","","-63","2452","9","WPA2-PSK","CCMP","Infrastructure","Yes","2018/11/25 11:55:45","-78.92159","36.00263"
"Swifty 229","60:38:E0:D7:BF:C0","","-49","2452","9","WPA-PSK + WPA2-PSK","TKIP + CCMP","Infrastructure","Yes","2018/11/25 11:54:09","-78.92159","36.00263"
"Linksys00916","60:38:E0:D7:98:00","","-65","2412","1","WPA2-PSK","CCMP","Infrastructure","Yes","2018/11/25 11:54:08","-78.92159","36.00263"
"","4E:EF:C0:B2:83:AA","","-67","2452","9","WPA2-PSK","CCMP","Infrastructure","Yes","2018/11/25 11:54:09","-78.92159","36.00263"
