"Name","Address","Company","Signal Level","Frequency","Channel","Security","Cipher","BSS Type","WPS Support","Time","Longitude","Latitude"
"Amanda's Wi-Fi Network","34:12:98:07:75:32","","-70","2437","6","WPA2-PSK","CCMP","Infrastructure","No","2018/12/9 22:50:02","-78.94415","36.00128"
"Dukeblue","70:70:8B:85:B6:C2","","-83","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 22:48:59","-78.94428","36.00118"
"DukeVisitor","70:70:8B:85:B6:C3","","-83","2437","6","None","None","Infrastructure","No","2018/12/9 22:50:16","-78.94409","36.00128"
"eduroam","70:70:8B:85:B6:C1","","-84","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 22:48:59","-78.94428","36.00118"
"DukeOpen","70:70:8B:85:B6:C0","","-82","2437","6","None","None","Infrastructure","No","2018/12/9 22:48:59","-78.94428","36.00118"
"Wilkins's Wi-Fi Network","70:73:CB:BA:1F:2D","Apple","-86","2462","11","WPA2-PSK","CCMP","Infrastructure","No","2018/12/9 22:49:40","-78.94421","36.00128"
"Dukeblue","38:0E:4D:BB:32:82","","-77","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 22:49:40","-78.94421","36.00128"
"eduroam","38:0E:4D:BB:32:81","","-79","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 22:49:40","-78.94421","36.00128"
"DIRECT-0e-HP M203 LaserJet","2E:6F:C9:5D:A4:0E","","-70","2437","6","WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/9 22:49:07","-78.94431","36.00125"
"HP-Print-C2-Photosmart 7520","6C:C2:17:81:76:C2","","-84","2437","6","WPA2-PSK","CCMP","Infrastructure","No","2018/12/9 22:50:13","-78.94409","36.00128"
"DukeOpen","38:0E:4D:BB:32:80","","-78","2437","6","None","None","Infrastructure","No","2018/12/9 22:49:07","-78.94431","36.00125"
"DukeVisitor","38:0E:4D:BB:32:83","","-78","2437","6","None","None","Infrastructure","No","2018/12/9 22:49:40","-78.94421","36.00128"
"DukeOpen","00:A3:8E:65:3E:40","","-76","2412","1","None","None","Infrastructure","No","2018/12/9 22:48:59","-78.94428","36.00118"
"DukeVisitor","00:A3:8E:65:3E:43","","-78","2412","1","None","None","Infrastructure","No","2018/12/9 22:50:14","-78.94409","36.00128"
"DukeOpen","6C:B2:AE:3B:6B:E0","","-64","2437","6","None","None","Infrastructure","No","2018/12/9 22:49:07","-78.94431","36.00125"
"DukeVisitor","6C:B2:AE:3B:6B:E3","","-63","2437","6","None","None","Infrastructure","No","2018/12/9 22:49:07","-78.94431","36.00125"
"SolsticePod","9C:30:5B:F1:62:89","","-88","2437","6","None","None","Infrastructure","No","2018/12/9 22:49:01","-78.94427","36.00122"
"eduroam","6C:B2:AE:3B:6B:E1","","-64","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 22:49:07","-78.94431","36.00125"
"Dukeblue","00:A3:8E:4C:4B:E2","","-79","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 22:48:59","-78.94428","36.00118"
"eduroam","00:A3:8E:4C:4B:E1","","-80","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 22:48:59","-78.94428","36.00118"
"DukeOpen","00:A3:8E:4C:4B:E0","","-80","2437","6","None","None","Infrastructure","No","2018/12/9 22:48:59","-78.94428","36.00118"
"DukeVisitor","00:A3:8E:4C:4B:E3","","-79","2437","6","None","None","Infrastructure","No","2018/12/9 22:48:59","-78.94428","36.00118"
"Dukeblue","6C:B2:AE:3B:6B:E2","","-66","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 22:49:07","-78.94431","36.00125"
"Dukeblue","00:A3:8E:65:3E:42","","-78","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 22:50:14","-78.94409","36.00128"
"eduroam","00:A3:8E:65:3E:41","","-78","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 22:50:14","-78.94409","36.00128"
"Dukeblue","38:0E:4D:BB:33:02","","-82","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 22:48:59","-78.94428","36.00118"
"DukeVisitor","38:0E:4D:BB:33:03","","-83","2462","11","None","None","Infrastructure","No","2018/12/9 22:48:59","-78.94428","36.00118"
"DukeVisitor","6C:B2:AE:39:D0:63","","-79","2412","1","None","None","Infrastructure","No","2018/12/9 22:48:59","-78.94428","36.00118"
"eduroam","38:0E:4D:BB:33:01","","-86","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 22:48:59","-78.94428","36.00118"
"DukeOpen","38:0E:4D:BB:33:00","","-85","2462","11","None","None","Infrastructure","No","2018/12/9 22:48:59","-78.94428","36.00118"
"DukeVisitor","00:A3:8E:06:7B:A3","","-73","2412","1","None","None","Infrastructure","No","2018/12/9 22:50:13","-78.94409","36.00128"
"DukeOpen","00:A3:8E:06:7B:A0","","-74","2412","1","None","None","Infrastructure","No","2018/12/9 22:48:58","-78.94428","36.00118"
"Dukeblue","6C:B2:AE:39:D0:62","","-82","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 22:48:59","-78.94428","36.00118"
"eduroam","6C:B2:AE:39:D0:61","","-80","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 22:48:59","-78.94428","36.00118"
"DukeOpen","6C:B2:AE:39:D0:60","","-81","2412","1","None","None","Infrastructure","No","2018/12/9 22:48:59","-78.94428","36.00118"
"eduroam","00:27:E3:19:68:A1","","-70","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 22:49:39","-78.94421","36.00128"
"DukeVisitor","00:A3:8E:4C:9D:43","","-69","2412","1","None","None","Infrastructure","No","2018/12/9 22:49:40","-78.94421","36.00128"
"DukeVisitor","00:27:E3:19:68:A3","","-70","2437","6","None","None","Infrastructure","No","2018/12/9 22:49:40","-78.94421","36.00128"
"DukeOpen","00:27:E3:19:68:A0","","-71","2437","6","None","None","Infrastructure","No","2018/12/9 22:49:40","-78.94421","36.00128"
"DukeOpen","00:A3:8E:4C:9D:40","","-70","2412","1","None","None","Infrastructure","No","2018/12/9 22:49:03","-78.94427","36.00122"
"Dukeblue","00:A3:8E:4C:9D:42","","-67","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 22:49:40","-78.94421","36.00128"
"eduroam","00:A3:8E:06:7B:A1","","-72","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 22:50:13","-78.94409","36.00128"
"eduroam","00:A3:8E:4C:9D:41","","-69","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 22:49:05","-78.94431","36.00125"
"Dukeblue","00:A3:8E:06:7B:A2","","-73","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 22:50:13","-78.94409","36.00128"
"Dukeblue","00:27:E3:19:68:A2","","-69","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 22:49:39","-78.94421","36.00128"
