"Name","Address","Company","Signal Level","Frequency","Channel","Security","Cipher","BSS Type","WPS Support","Time","Longitude","Latitude"
"Linksys327","60:38:E0:D7:9B:30","","-27","2452","9","WPA-PSK + WPA2-PSK","TKIP + CCMP","Infrastructure","Yes","2018/12/3 09:24:58","-78.92221","36.00292"
"~DDMF~ Guest","84:16:F9:5E:4B:B7","","-56","2432","5","WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/3 09:24:00","-78.92235","36.00294"
"WiFieri","60:38:E0:D7:DB:E4","","-35","2457","10","WPA-PSK + WPA2-PSK","TKIP + CCMP","Infrastructure","Yes","2018/12/3 09:23:40","-78.92235","36.00294"
"misskeisha_guest","B0:6E:BF:DA:48:49","","-51","2437","6","WPA2-PSK","CCMP","Infrastructure","No","2018/12/3 09:24:10","-78.92235","36.00294"
"Linksys02581","60:38:E0:D7:B2:04","","-46","2432","5","WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/3 09:23:40","-78.92235","36.00294"
"Swifty 229","60:38:E0:D7:BF:C0","","-50","2452","9","WPA-PSK + WPA2-PSK","TKIP + CCMP","Infrastructure","Yes","2018/12/3 09:24:43","-78.92221","36.00292"
"Linksys02272","60:38:E0:D7:AD:30","","-39","2427","4","WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/3 09:25:05","-78.92214","36.00285"
"Linksys02475","60:38:E0:D7:B0:5C","","-52","2437","6","WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/3 09:25:05","-78.92214","36.00285"
"Linksys00916","60:38:E0:D7:98:00","","-58","2412","1","WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/3 09:21:29","-78.92244","36.00307"
"TP-LINK_9D7F","18:D6:C7:4D:9D:7F","","-56","2417","2","WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/3 09:25:06","-78.92214","36.00285"
"Clout Factory","60:38:E0:DB:17:63","","-57","2412","1","WPA-PSK + WPA2-PSK","TKIP + CCMP","Infrastructure","Yes","2018/12/3 09:25:48","-78.92221","36.00308"
"Guest314","60:38:E0:D7:A6:90","","-67","2452","9","WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/3 09:24:37","-78.92226","36.00291"
"Schmicky Bah’s Connection","60:38:E0:D7:A6:2C","","-69","2452","9","WPA-PSK + WPA2-PSK","TKIP + CCMP","Infrastructure","Yes","2018/12/3 09:24:30","-78.92232","36.00292"
"Linksys327-guest","62:38:E0:D4:9B:30","","-29","2452","9","None","None","Infrastructure","No","2018/12/3 09:25:02","-78.92217","36.00289"
"misskeisha","B0:6E:BF:DA:48:48","","-50","2437","6","None","None","Infrastructure","Yes","2018/12/3 09:24:12","-78.92235","36.00294"
"Swifty 229-guest","62:38:E0:D4:BF:C0","","-51","2452","9","None","None","Infrastructure","No","2018/12/3 09:24:40","-78.92221","36.00292"
"Linksys02272-guest","62:38:E0:D4:AD:30","","-43","2427","4","None","None","Infrastructure","No","2018/12/3 09:25:04","-78.92214","36.00285"
"Linksys19303-guest","62:38:E0:D8:78:62","","-52","2462","11","None","None","Infrastructure","No","2018/12/3 09:25:45","-78.92221","36.00308"
