"Name","Address","Company","Signal Level","Frequency","Channel","Security","Cipher","BSS Type","WPS Support","Time","Longitude","Latitude"
"Dukeblue","00:FE:C8:34:59:F3","","-60","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/11/18 15:01:37","-78.93916","36.00101"
"eduroam","CC:46:D6:7E:AD:B1","","-66","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/11/18 15:01:45","-78.93922","36.00104"
"Dukeblue","CC:46:D6:7E:AF:F3","","-43","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/11/18 15:01:37","-78.93916","36.00101"
"eduroam","00:FE:C8:3D:C3:C1","","-63","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/11/18 15:01:33","-78.93904","36.00106"
"DukeVisitor","00:FE:C8:3D:C3:C4","","-65","2462","11","None","None","Infrastructure","No","2018/11/18 15:01:33","-78.93912","36.00104"
"DukeOpen","00:FE:C8:3D:C3:C0","","-63","2462","11","None","None","Infrastructure","No","2018/11/18 15:01:33","-78.93912","36.00104"
"eduroam","CC:46:D6:7E:AF:F1","","-43","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/11/18 15:01:37","-78.93916","36.00101"
"DukeVisitor","CC:46:D6:7E:AD:B4","","-65","2412","1","None","None","Infrastructure","No","2018/11/18 15:01:45","-78.93922","36.00104"
"DukeOpen","CC:46:D6:7E:AF:F0","","-44","2437","6","None","None","Infrastructure","No","2018/11/18 15:01:37","-78.93916","36.00101"
"Dukeblue","00:FE:C8:3D:C3:C3","","-65","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/11/18 15:01:37","-78.93916","36.00101"
"Dukeblue","CC:46:D6:7E:AD:B3","","-65","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/11/18 15:01:37","-78.93916","36.00101"
"DukeVisitor","CC:46:D6:7E:AF:F4","","-44","2437","6","None","None","Infrastructure","No","2018/11/18 15:01:37","-78.93916","36.00101"
"Dukeblue","00:FE:C8:2F:81:03","","-72","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/11/18 15:01:37","-78.93916","36.00101"
"eduroam","00:FE:C8:2F:81:01","","-71","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/11/18 15:01:50","-78.93927","36.00106"
"DukeVisitor","00:FE:C8:2F:81:04","","-72","2462","11","None","None","Infrastructure","No","2018/11/18 15:01:50","-78.93927","36.00106"
"DukeOpen","00:FE:C8:2F:81:00","","-71","2462","11","None","None","Infrastructure","No","2018/11/18 15:01:49","-78.93927","36.00106"
"DukeVisitor","00:FE:C8:34:59:F4","","-62","2437","6","None","None","Infrastructure","No","2018/11/18 15:01:46","-78.93922","36.00104"
"DukeOpen","CC:46:D6:7E:AD:B0","","-67","2412","1","None","None","Infrastructure","No","2018/11/18 15:01:44","-78.93922","36.00104"
"DukeOpen","00:FE:C8:34:59:F0","","-62","2437","6","None","None","Infrastructure","No","2018/11/18 15:01:46","-78.93922","36.00104"
"Dukeblue","00:FE:C8:5A:26:93","","-75","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/11/18 15:01:35","-78.93916","36.00101"
"DukeVisitor","00:FE:C8:38:7A:04","","-55","2462","11","None","None","Infrastructure","No","2018/11/18 15:02:03","-78.93932","36.00109"
