"Name","Address","Company","Signal Level","Frequency","Channel","Security","Cipher","BSS Type","WPS Support","Time","Longitude","Latitude"
"GoPro Hero4 ","D6:D9:19:9E:65:37","","-69","2412","1","WPA2-PSK","CCMP","Infrastructure","No","2018/12/10 11:23:40","-78.9387","36.00089"
"eduroam","C4:0A:CB:DF:2B:51","CISCO SYSTEMS, INC.","-70","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 11:23:34","-78.93864","36.00098"
"Dukeblue","C4:0A:CB:DF:2B:52","CISCO SYSTEMS, INC.","-72","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 11:23:34","-78.93864","36.00098"
"iPhone","A2:3B:E3:B0:A7:B8","","-76","2462","11","WPA2-PSK","CCMP","Infrastructure","No","2018/12/10 11:23:26","-78.93862","36.00107"
"","C4:0A:CB:DF:2B:54","CISCO SYSTEMS, INC.","-71","2412","1","None","None","Infrastructure","No","2018/12/10 11:23:29","-78.9387","36.00109"
"DukeOpen","C4:0A:CB:DF:2B:50","CISCO SYSTEMS, INC.","-72","2412","1","None","None","Infrastructure","No","2018/12/10 11:23:31","-78.93864","36.00098"
"DukeVisitor","C4:0A:CB:DF:2B:53","CISCO SYSTEMS, INC.","-69","2412","1","None","None","Infrastructure","No","2018/12/10 11:23:34","-78.93864","36.00098"
"OSMO_1a3b3f","60:60:1F:1A:3B:3F","SZ DJI TECHNOLOGY CO.,LTD","-83","2437","6","WPA2-PSK","CCMP","Infrastructure","No","2018/12/10 11:23:21","",""
"Dukeblue","D4:A0:2A:48:FF:22","CISCO SYSTEMS, INC.","-86","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 11:23:55","-78.93883","36.00086"
"DukeVisitor","D4:A0:2A:48:FF:23","CISCO SYSTEMS, INC.","-85","2437","6","None","None","Infrastructure","No","2018/12/10 11:23:26","-78.93862","36.00107"
"Dukeblue","D8:24:BD:B4:C2:E2","CISCO SYSTEMS, INC.","-82","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 11:23:25","-78.9386","36.001"
"DIRECT-0a-HP M477 LaserJet","46:1C:A8:25:F2:0A","","-88","2437","6","WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/10 11:23:38","-78.93866","36.00093"
"DukeOpen","D8:24:BD:B4:C2:E0","CISCO SYSTEMS, INC.","-81","2412","1","None","None","Infrastructure","No","2018/12/10 11:23:35","-78.93864","36.00098"
"DukeVisitor","00:FE:C8:2F:81:04","","-88","2437","6","None","None","Infrastructure","No","2018/12/10 11:23:35","-78.93864","36.00098"
"XP8800_IELV","02:24:A3:FA:21:17","","-31","2437","6","WPA2-PSK","CCMP","Infrastructure","No","2018/12/10 11:23:52","-78.93875","36.00087"
"DIRECT-2A-HP OfficeJet 5200","12:62:E5:CA:D2:2A","","-82","2437","6","WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/10 11:23:41","-78.9387","36.00089"
"DukeVisitor","D8:24:BD:B4:C2:E3","CISCO SYSTEMS, INC.","-86","2412","1","None","None","Infrastructure","No","2018/12/10 11:23:45","-78.9387","36.00089"
"","C4:0A:CB:B3:3C:04","CISCO SYSTEMS, INC.","-85","2412","1","None","None","Infrastructure","No","2018/12/10 11:23:46","-78.9387","36.00089"
"DukeVisitor","C4:0A:CB:B3:3C:03","CISCO SYSTEMS, INC.","-84","2412","1","None","None","Infrastructure","No","2018/12/10 11:23:55","-78.93883","36.00086"
"","68:72:51:4C:E1:00","Ubiquiti Networks","-91","2447","8","WPA2-PSK","CCMP","Infrastructure","No","2018/12/10 11:23:41","-78.9387","36.00089"
"eduroam","D4:A0:2A:48:FF:21","CISCO SYSTEMS, INC.","-85","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 11:23:55","-78.93883","36.00086"
"eduroam","C4:0A:CB:B3:3C:01","CISCO SYSTEMS, INC.","-84","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 11:23:55","-78.93883","36.00086"
"eduroam","D8:24:BD:B4:C2:E1","CISCO SYSTEMS, INC.","-91","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 11:23:41","-78.9387","36.00089"
