"Name","Address","Company","Signal Level","Frequency","Channel","Security","Cipher","BSS Type","WPS Support","Time","Longitude","Latitude"
"Dukeblue","0C:85:25:AB:12:92","CISCO SYSTEMS, INC.","-62","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 23:54:05","",""
"eduroam","0C:85:25:AB:12:91","CISCO SYSTEMS, INC.","-64","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 23:54:05","",""
"Dukeblue","C4:0A:CB:A4:C9:D2","CISCO SYSTEMS, INC.","-72","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 00:26:06","",""
"eduroam","C4:0A:CB:A4:C9:D1","CISCO SYSTEMS, INC.","-72","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 00:26:36","",""
"eduroam","D8:24:BD:B4:F0:31","CISCO SYSTEMS, INC.","-70","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 00:26:06","",""
"Dukeblue","D8:24:BD:B4:F0:32","CISCO SYSTEMS, INC.","-70","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 00:25:06","",""
"eduroam","C4:0A:CB:24:54:71","CISCO SYSTEMS, INC.","-74","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 00:26:06","",""
"Dukeblue","C4:0A:CB:24:54:72","CISCO SYSTEMS, INC.","-74","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 00:24:06","",""
"Dukeblue","D8:24:BD:D5:CF:C2","CISCO SYSTEMS, INC.","-79","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 23:54:05","",""
"eduroam","D8:24:BD:B4:F0:61","CISCO SYSTEMS, INC.","-76","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 09:42:21","",""
"Dukeblue","D8:24:BD:B4:F0:62","CISCO SYSTEMS, INC.","-76","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 09:42:21","",""
"eduroam","D8:24:BD:D5:CF:C1","CISCO SYSTEMS, INC.","-81","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 23:54:05","",""
"Dukeblue","00:42:68:A5:18:D2","","-87","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 00:26:06","",""
"DIRECT-18-HP OfficeJet Pro 8740","B6:B6:86:AE:1E:18","","-85","2437","6","WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/10 00:25:36","",""
"DukeVisitor","0C:85:25:AB:12:93","CISCO SYSTEMS, INC.","-63","2462","11","None","None","Infrastructure","No","2018/12/9 23:54:05","",""
"DukeOpen","0C:85:25:AB:12:90","CISCO SYSTEMS, INC.","-64","2462","11","None","None","Infrastructure","No","2018/12/9 23:54:05","",""
"DukeVisitor","C4:0A:CB:A4:C9:D3","CISCO SYSTEMS, INC.","-71","2412","1","None","None","Infrastructure","No","2018/12/9 23:54:05","",""
"DukeVisitor","D8:24:BD:B4:F0:33","CISCO SYSTEMS, INC.","-70","2437","6","None","None","Infrastructure","No","2018/12/10 00:26:36","",""
"DukeOpen","C4:0A:CB:A4:C9:D0","CISCO SYSTEMS, INC.","-71","2412","1","None","None","Infrastructure","No","2018/12/9 23:54:05","",""
"DukeOpen","D8:24:BD:B4:F0:30","CISCO SYSTEMS, INC.","-70","2437","6","None","None","Infrastructure","No","2018/12/10 00:26:36","",""
"DukeVisitor","C4:0A:CB:24:54:73","CISCO SYSTEMS, INC.","-74","2462","11","None","None","Infrastructure","No","2018/12/10 00:26:06","",""
"DukeOpen","D8:24:BD:D5:CF:C0","CISCO SYSTEMS, INC.","-78","2437","6","None","None","Infrastructure","No","2018/12/10 09:42:21","",""
"DukeOpen","C4:0A:CB:24:54:70","CISCO SYSTEMS, INC.","-74","2462","11","None","None","Infrastructure","No","2018/12/10 00:26:06","",""
"DukeVisitor","D8:24:BD:B4:F0:63","CISCO SYSTEMS, INC.","-76","2462","11","None","None","Infrastructure","No","2018/12/10 09:42:21","",""
"DukeVisitor","D8:24:BD:D5:CF:C3","CISCO SYSTEMS, INC.","-79","2462","11","None","None","Infrastructure","No","2018/12/10 00:26:36","",""
"DukeOpen","D8:24:BD:B4:F0:60","CISCO SYSTEMS, INC.","-78","2462","11","None","None","Infrastructure","No","2018/12/9 23:54:05","",""
"DukeVisitor","00:42:68:A2:97:C3","","-84","2412","1","None","None","Infrastructure","No","2018/12/10 09:42:21","",""
"DukeVisitor","D8:24:BD:85:51:83","CISCO SYSTEMS, INC.","-76","2412","1","None","None","Infrastructure","No","2018/12/10 00:26:36","",""
"DukeVisitor","00:42:68:95:A1:73","","-86","2412","1","None","None","Infrastructure","No","2018/12/10 00:26:36","",""
"eduroam","64:A0:E7:5F:47:21","CISCO SYSTEMS, INC.","-75","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 00:24:06","",""
"DukeVisitor","64:A0:E7:5F:47:23","CISCO SYSTEMS, INC.","-78","2412","1","None","None","Infrastructure","No","2018/12/10 00:26:36","",""
"DukeOpen","00:42:68:A2:97:C0","","-89","2412","1","None","None","Infrastructure","No","2018/12/9 23:54:05","",""
"Dukeblue","0C:85:25:DE:12:22","CISCO SYSTEMS, INC.","-84","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 23:54:05","",""
"Dukeblue","00:42:68:A2:97:C2","","-84","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 23:54:05","",""
"eduroam","D8:24:BD:85:51:81","CISCO SYSTEMS, INC.","-76","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 00:26:36","",""
"Dukeblue","D8:24:BD:85:51:82","CISCO SYSTEMS, INC.","-75","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 00:26:36","",""
"Dukeblue","64:A0:E7:5F:47:22","CISCO SYSTEMS, INC.","-75","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 00:25:36","",""
"Dukeblue","00:42:68:BA:F6:22","","-80","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 00:26:36","",""
"eduroam","00:42:68:BA:F6:21","","-81","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 00:26:36","",""
"DukeVisitor","00:42:68:A5:18:D3","","-87","2412","1","None","None","Infrastructure","No","2018/12/10 00:24:36","",""
"eduroam","00:42:68:A2:97:C1","","-85","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 09:42:21","",""
"Dukeblue","00:42:68:95:A1:72","","-87","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 00:25:36","",""
"Dukeblue","00:42:68:A5:06:02","","-90","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 00:26:36","",""
"eduroam","00:42:68:A5:06:01","","-91","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 00:26:36","",""
"DukeOpen","64:A0:E7:5F:47:20","CISCO SYSTEMS, INC.","-76","2412","1","None","None","Infrastructure","No","2018/12/10 00:25:06","",""
"DukeVisitor","00:42:68:BA:F6:23","","-82","2412","1","None","None","Infrastructure","No","2018/12/10 00:25:06","",""
"DukeOpen","00:42:68:BA:F6:20","","-83","2412","1","None","None","Infrastructure","No","2018/12/10 00:25:06","",""
"DukeOpen","D8:24:BD:A1:5A:00","CISCO SYSTEMS, INC.","-83","2412","1","None","None","Infrastructure","No","2018/12/10 00:24:06","",""
"DukeVisitor","00:42:68:A5:06:03","","-89","2437","6","None","None","Infrastructure","No","2018/12/10 00:25:06","",""
"eduroam","D8:24:BD:A1:5A:01","CISCO SYSTEMS, INC.","-86","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 00:26:36","",""
"eduroam","00:42:68:A5:18:D1","","-88","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 00:24:36","",""
"DukeVisitor","D8:24:BD:A1:5A:03","CISCO SYSTEMS, INC.","-84","2412","1","None","None","Infrastructure","No","2018/12/10 00:25:06","",""
"DukeOpen","00:42:68:A5:06:00","","-91","2437","6","None","None","Infrastructure","No","2018/12/10 00:26:36","",""
"DukeOpen","00:42:68:95:A1:70","","-85","2412","1","None","None","Infrastructure","No","2018/12/10 00:26:36","",""
"DukeVisitor","C4:0A:CB:24:6D:73","CISCO SYSTEMS, INC.","-91","2412","1","None","None","Infrastructure","No","2018/12/10 00:26:06","",""
"eduroam","0C:85:25:DE:12:21","CISCO SYSTEMS, INC.","-89","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 00:26:36","",""
"DukeOpen","D8:24:BD:85:51:80","CISCO SYSTEMS, INC.","-77","2412","1","None","None","Infrastructure","No","2018/12/10 00:26:36","",""
"DukeVisitor","0C:85:25:DE:12:23","CISCO SYSTEMS, INC.","-90","2462","11","None","None","Infrastructure","No","2018/12/10 00:26:36","",""
