"Name","Address","Company","Signal Level","Frequency","Channel","Security","Cipher","BSS Type","WPS Support","Time","Longitude","Latitude"
"DukeVisitor","F4:4E:05:1F:B8:53","","-76","2462","11","None","None","Infrastructure","No","2018/12/10 12:01:02","-78.91543","36.0053"
"eduroam","D8:24:BD:A1:1B:01","CISCO SYSTEMS, INC.","-82","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 11:59:59","-78.91514","36.00558"
"eduroam","D4:A0:2A:15:77:11","CISCO SYSTEMS, INC.","-75","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 12:00:35","-78.91515","36.0054"
"DukeVisitor","D4:A0:2A:15:77:13","CISCO SYSTEMS, INC.","-75","2412","1","None","None","Infrastructure","No","2018/12/10 12:00:25","-78.91512","36.00544"
"DukeOpen","D4:A0:2A:15:77:10","CISCO SYSTEMS, INC.","-76","2412","1","None","None","Infrastructure","No","2018/12/10 12:00:35","-78.91515","36.0054"
"DIRECT-a4-HP M452 LaserJet","4A:E2:44:B9:B0:A4","","-81","2437","6","WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/10 12:00:03","-78.91514","36.00558"
"eduroam","00:42:5A:B0:68:A1","","-75","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 11:59:56","-78.91514","36.00558"
"","00:42:5A:B0:68:A2","","-74","2462","11","None","None","Infrastructure","No","2018/12/10 11:59:56","-78.91514","36.00558"
"DukeOpen","00:42:5A:B0:68:A0","","-75","2462","11","None","None","Infrastructure","No","2018/12/10 11:59:56","-78.91514","36.00558"
"DukeVisitor","00:42:5A:B0:68:A3","","-74","2462","11","None","None","Infrastructure","No","2018/12/10 11:59:56","-78.91514","36.00558"
"DukeVisitor","C4:0A:CB:DF:3A:03","CISCO SYSTEMS, INC.","-61","2462","11","None","None","Infrastructure","No","2018/12/10 12:04:53","-78.91552","36.00524"
"","C4:0A:CB:DF:3A:02","CISCO SYSTEMS, INC.","-61","2462","11","None","None","Infrastructure","No","2018/12/10 12:04:51","-78.91552","36.00524"
