"Name","Address","Company","Signal Level","Frequency","Channel","Security","Cipher","BSS Type","WPS Support","Time","Longitude","Latitude"
"AreBelongToUs","E4:95:6E:42:05:91","","-78","2462","11","WPA2-PSK","CCMP","Infrastructure","No","2018/12/11 18:40:11","-78.9408","36.00441"
"Dukeblue","D4:A0:2A:15:8A:42","CISCO SYSTEMS, INC.","-84","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/11 18:25:38","-78.94046","36.00539"
"eduroam","D4:A0:2A:15:8A:41","CISCO SYSTEMS, INC.","-79","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/11 18:25:33","-78.94046","36.00539"
"clubs","D4:A0:2A:15:8A:44","CISCO SYSTEMS, INC.","-85","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/11 18:25:51","-78.94038","36.00507"
"Dukeblue","D4:A0:2A:15:8A:52","CISCO SYSTEMS, INC.","-86","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/11 18:25:32","-78.94046","36.00539"
"eduroam","D4:A0:2A:15:8A:51","CISCO SYSTEMS, INC.","-87","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/11 18:25:45","-78.94046","36.00539"
"clubs","D4:A0:2A:15:8A:54","CISCO SYSTEMS, INC.","-86","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/11 18:25:45","-78.94046","36.00539"
"clubs","D8:24:BD:A1:21:54","CISCO SYSTEMS, INC.","-63","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/11 18:25:51","-78.94038","36.00507"
"Dukeblue","D8:24:BD:A1:21:52","CISCO SYSTEMS, INC.","-65","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/11 18:25:51","-78.94038","36.00507"
"clubs","D4:A0:2A:15:84:F4","CISCO SYSTEMS, INC.","-75","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/11 18:25:34","-78.94046","36.00539"
"eduroam","D8:24:BD:A1:21:51","CISCO SYSTEMS, INC.","-66","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/11 18:26:18","-78.94014","36.00492"
"Dukeblue","D4:A0:2A:15:84:F2","CISCO SYSTEMS, INC.","-76","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/11 18:25:34","-78.94046","36.00539"
"eduroam","D4:A0:2A:15:84:F1","CISCO SYSTEMS, INC.","-75","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/11 18:25:36","-78.94046","36.00539"
"eduroam","D4:A0:2A:11:8A:B1","CISCO SYSTEMS, INC.","-83","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/11 18:25:33","-78.94046","36.00539"
"clubs","D4:A0:2A:11:8A:B4","CISCO SYSTEMS, INC.","-85","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/11 18:25:33","-78.94046","36.00539"
"DIRECT-20-HP pr109","C4:8E:8F:79:30:20","","-77","2437","6","WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/11 18:40:10","-78.9408","36.00441"
"clubs","D4:A0:2A:15:A6:D4","CISCO SYSTEMS, INC.","-87","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/11 18:40:10","-78.9408","36.00441"
"Dukeblue","D4:A0:2A:15:A6:D2","CISCO SYSTEMS, INC.","-86","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/11 18:25:51","-78.94038","36.00507"
"DukeVisitor","D4:A0:2A:15:8A:43","CISCO SYSTEMS, INC.","-83","2412","1","None","None","Infrastructure","No","2018/12/11 18:25:34","-78.94046","36.00539"
"DukeOpen","D4:A0:2A:15:8A:40","CISCO SYSTEMS, INC.","-83","2412","1","None","None","Infrastructure","No","2018/12/11 18:25:34","-78.94046","36.00539"
"DukeOpen","D4:A0:2A:15:8A:50","CISCO SYSTEMS, INC.","-89","2462","11","None","None","Infrastructure","No","2018/12/11 18:25:32","-78.94046","36.00539"
"DukeVisitor","D4:A0:2A:15:8A:53","CISCO SYSTEMS, INC.","-89","2462","11","None","None","Infrastructure","No","2018/12/11 18:25:32","-78.94046","36.00539"
