"Name","Address","Company","Signal Level","Frequency","Channel","Security","Cipher","BSS Type","WPS Support","Time","Longitude","Latitude"
"DukeVisitor","00:27:E3:27:25:24","","-72","2412","1","None","None","Infrastructure","No","2018/12/9 21:41:24","-78.9384","36.00149"
"DukeOpen","00:27:E3:27:25:20","","-72","2412","1","None","None","Infrastructure","No","2018/12/9 21:41:24","-78.9384","36.00149"
"eduroam","00:27:E3:27:25:21","","-71","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 21:41:24","-78.9384","36.00149"
"eduroam","00:42:5A:B2:85:61","","-82","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 21:41:24","-78.9384","36.00149"
"DukeVisitor","00:42:5A:B2:85:64","","-80","2462","11","None","None","Infrastructure","No","2018/12/9 21:41:24","-78.9384","36.00149"
"eduroam","00:42:5A:B0:A5:61","","-80","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 21:41:24","-78.9384","36.00149"
"DukeVisitor","00:42:5A:B0:A5:64","","-79","2412","1","None","None","Infrastructure","No","2018/12/9 21:41:24","-78.9384","36.00149"
"eduroam","00:42:5A:B0:7B:C1","","-72","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 21:41:24","-78.9384","36.00149"
"DukeVisitor","00:42:5A:B0:7B:C4","","-71","2437","6","None","None","Infrastructure","No","2018/12/9 21:41:24","-78.9384","36.00149"
"DukeOpen","00:42:5A:B0:7B:C0","","-72","2437","6","None","None","Infrastructure","No","2018/12/9 21:41:24","-78.9384","36.00149"
"DIRECT-roku-234-AC8D15","74:DF:BF:B3:0D:A2","","-84","2462","11","WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/9 21:41:24","-78.9384","36.00149"
"DIRECT-9x-FireTV_6be5","76:C2:46:27:73:4E","","-81","2437","6","WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/9 21:41:36","-78.9376","35.99954"
"DIRECT-AC-FireTV_1239","B6:7C:9C:F1:15:51","","-65","2437","6","WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/9 21:42:44","-78.93708","35.99934"
"DIRECT-6C-HP OfficeJet 4650","58:20:B1:88:DD:6D","","-88","2437","6","WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/9 21:41:31","-78.93757","35.99958"
"LeChase BYOD","0E:8D:9B:1C:6B:E1","","-91","2437","6","WPA2-PSK","CCMP","Infrastructure","No","2018/12/9 21:41:30","-78.93754","35.99964"
"LeChase Employee WiFi","0E:8D:9B:1C:6B:E3","","-89","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 21:41:33","-78.93757","35.99958"
"LeChase Guest","0E:8D:9B:1C:6B:E2","","-89","2437","6","WPA-PSK + WPA2-PSK","TKIP + CCMP","Infrastructure","No","2018/12/9 21:41:30","-78.93754","35.99964"
"Crestron Control","88:DC:96:0E:50:60","SENAO Networks, Inc.","-76","2437","6","WPA-PSK","TKIP + CCMP","Infrastructure","No","2018/12/9 21:48:59","-78.93706","35.99889"
"","C2:D2:F3:5D:CB:B6","","-92","2412","1","WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/9 21:41:47","-78.93754","35.99955"
