"Name","Address","Company","Signal Level","Frequency","Channel","Security","Cipher","BSS Type","WPS Support","Time","Longitude","Latitude"
"DukeVisitor","38:ED:18:2D:F1:73","","-85","2437","6","None","None","Infrastructure","No","2018/12/10 20:00:13","-78.9407","36.00233"
"eduroam","38:ED:18:2D:F1:71","","-88","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 19:59:39","-78.94074","36.00208"
"Dukeblue","38:ED:18:2D:F1:72","","-86","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 19:59:37","-78.94074","36.00208"
"DukeOpen","38:ED:18:2D:F1:70","","-83","2437","6","None","None","Infrastructure","No","2018/12/10 19:59:37","-78.94074","36.00208"
"","68:72:51:4C:E1:00","Ubiquiti Networks","-76","2447","8","WPA2-PSK","CCMP","Infrastructure","No","2018/12/10 19:59:42","-78.94074","36.00208"
"DIRECT-37-HP OfficeJet Pro 8710","F4:30:B9:41:D3:38","","-68","2437","6","WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/10 19:59:59","-78.94078","36.0022"
"DukeVisitor","D8:24:BD:85:77:C3","CISCO SYSTEMS, INC.","-70","2412","1","None","None","Infrastructure","No","2018/12/10 19:59:45","-78.94076","36.00212"
"DukeOpen","D8:24:BD:85:77:C0","CISCO SYSTEMS, INC.","-70","2412","1","None","None","Infrastructure","No","2018/12/10 19:59:59","-78.94078","36.0022"
"Dukeblue","D8:24:BD:85:77:C2","CISCO SYSTEMS, INC.","-70","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 19:59:59","-78.94078","36.0022"
"eduroam","D8:24:BD:85:77:C1","CISCO SYSTEMS, INC.","-70","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 19:59:43","-78.94076","36.00212"
"DukeOpen","0C:85:25:30:FE:20","CISCO SYSTEMS, INC.","-74","2462","11","None","None","Infrastructure","No","2018/12/10 20:00:26","-78.94067","36.00237"
"Dukeblue","0C:85:25:30:FE:22","CISCO SYSTEMS, INC.","-74","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 20:00:14","-78.9407","36.00233"
"eduroam","0C:85:25:30:FE:21","CISCO SYSTEMS, INC.","-73","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 20:00:14","-78.9407","36.00233"
"DukeVisitor","0C:85:25:30:FE:23","CISCO SYSTEMS, INC.","-73","2462","11","None","None","Infrastructure","No","2018/12/10 20:00:14","-78.9407","36.00233"
"Dukeblue","A0:23:9F:B4:93:83","","-89","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 20:00:06","-78.94074","36.00223"
"DukeOpen","A0:23:9F:B4:93:80","","-91","2437","6","None","None","Infrastructure","No","2018/12/10 20:00:06","-78.94074","36.00223"
"eduroam","A0:23:9F:B4:93:81","","-92","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 20:00:13","-78.9407","36.00233"
"airtame-DIV110","38:4B:76:01:54:05","","-87","2437","6","WPA-PSK + WPA2-PSK","TKIP + CCMP","Infrastructure","No","2018/12/10 20:00:11","-78.9407","36.00233"
"DukeOpen","00:42:68:AC:06:00","","-80","2412","1","None","None","Infrastructure","No","2018/12/10 20:00:28","-78.94065","36.00242"
"DukeVisitor","00:42:68:AC:06:03","","-80","2412","1","None","None","Infrastructure","No","2018/12/10 20:00:28","-78.94065","36.00242"
"eduroam","00:42:68:AC:06:01","","-79","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 20:00:28","-78.94065","36.00242"
"Dukeblue","00:42:68:AC:06:02","","-77","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 20:00:29","-78.94065","36.00242"
"","00:42:68:AC:06:04","","-81","2412","1","None","None","Infrastructure","No","2018/12/10 20:00:29","-78.94065","36.00242"
"drsnet","C8:B3:73:14:15:6F","Cisco-Linksys, LLC","-85","2412","1","None","None","Infrastructure","No","2018/12/10 20:01:25","-78.94039","36.00278"
"HP-Print-78-ENVY 4500 series","30:8D:99:B5:A2:78","","-80","2437","6","None","None","Infrastructure","No","2018/12/10 20:02:14","-78.94031","36.00316"
"HP-Print-1e-LaserJet 400","BC:85:56:4F:75:1E","Hon Hai Precision Ind. Co.,Ltd.","-83","2412","1","None","None","Infrastructure","No","2018/12/10 20:01:40","-78.94035","36.00298"
"eduroam","C4:0A:CB:A4:AF:01","CISCO SYSTEMS, INC.","-82","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 20:01:41","-78.94035","36.00298"
"Dukeblue","C4:0A:CB:A4:AF:03","CISCO SYSTEMS, INC.","-80","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 20:02:14","-78.94031","36.00316"
"DukeOpen","C4:0A:CB:A4:AF:00","CISCO SYSTEMS, INC.","-82","2437","6","None","None","Infrastructure","No","2018/12/10 20:01:39","-78.94037","36.00293"
"CIEMAS 2509","C4:8E:8F:82:33:FB","","-67","2437","6","None","None","Infrastructure","No","2018/12/10 20:02:45","-78.94031","36.00316"
"DukeVisitor","C4:0A:CB:A4:AF:04","CISCO SYSTEMS, INC.","-81","2437","6","None","None","Infrastructure","No","2018/12/10 20:02:14","-78.94031","36.00316"
"","C4:0A:CB:A4:AF:02","CISCO SYSTEMS, INC.","-81","2437","6","None","None","Infrastructure","No","2018/12/10 20:01:39","-78.94037","36.00293"
"Dukeblue","D4:A0:2A:15:5C:A3","CISCO SYSTEMS, INC.","-74","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 20:01:43","-78.94034","36.00303"
"eduroam","D4:A0:2A:15:5C:A1","CISCO SYSTEMS, INC.","-74","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 20:02:14","-78.94031","36.00316"
"Dukeblue","C4:0A:CB:A4:CB:B3","CISCO SYSTEMS, INC.","-86","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 20:01:19","-78.94041","36.00274"
"eduroam","C4:0A:CB:A4:CB:B1","CISCO SYSTEMS, INC.","-87","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 20:01:36","-78.94037","36.00293"
"Dukeblue","A8:9D:21:F7:28:13","","-72","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 20:02:45","-78.94031","36.00316"
"eduroam","A8:9D:21:F7:28:11","","-71","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 20:03:18","-78.94026","36.00317"
"DukeOpen","D4:A0:2A:15:5C:A0","CISCO SYSTEMS, INC.","-74","2412","1","None","None","Infrastructure","No","2018/12/10 20:02:14","-78.94031","36.00316"
"DukeVisitor","D4:A0:2A:15:5C:A4","CISCO SYSTEMS, INC.","-74","2412","1","None","None","Infrastructure","No","2018/12/10 20:02:14","-78.94031","36.00316"
"DukeOpen","C4:0A:CB:A4:CB:B0","CISCO SYSTEMS, INC.","-84","2462","11","None","None","Infrastructure","No","2018/12/10 20:01:19","-78.94041","36.00274"
"DukeVisitor","C4:0A:CB:A4:CB:B4","CISCO SYSTEMS, INC.","-86","2462","11","None","None","Infrastructure","No","2018/12/10 20:01:36","-78.94037","36.00293"
"DukeVisitor","A8:9D:21:F7:28:14","","-71","2437","6","None","None","Infrastructure","No","2018/12/10 20:02:45","-78.94031","36.00316"
"DukeOpen","A8:9D:21:F7:28:10","","-71","2437","6","None","None","Infrastructure","No","2018/12/10 20:03:15","-78.94026","36.00317"
"eduroam","C4:0A:CB:A4:BB:81","CISCO SYSTEMS, INC.","-73","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 20:02:45","-78.94031","36.00316"
"DukeVisitor","C4:0A:CB:A4:BB:84","CISCO SYSTEMS, INC.","-73","2412","1","None","None","Infrastructure","No","2018/12/10 20:02:45","-78.94031","36.00316"
"","D4:A0:2A:15:5C:A2","CISCO SYSTEMS, INC.","-75","2412","1","None","None","Infrastructure","No","2018/12/10 20:01:40","-78.94035","36.00298"
"Dukeblue","C4:0A:CB:A4:BB:83","CISCO SYSTEMS, INC.","-73","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 20:02:19","-78.94031","36.00316"
"","C4:0A:CB:A4:CB:B2","CISCO SYSTEMS, INC.","-87","2462","11","None","None","Infrastructure","No","2018/12/10 20:01:39","-78.94037","36.00293"
"DukeOpen","C4:0A:CB:A4:BB:80","CISCO SYSTEMS, INC.","-73","2412","1","None","None","Infrastructure","No","2018/12/10 20:03:14","-78.94026","36.00317"
"","C4:0A:CB:A4:BB:82","CISCO SYSTEMS, INC.","-73","2412","1","None","None","Infrastructure","No","2018/12/10 20:02:32","-78.94031","36.00316"
