"Name","Address","Company","Signal Level","Frequency","Channel","Security","Cipher","BSS Type","WPS Support","Time","Longitude","Latitude"
"clubs","D8:24:BD:A1:21:54","CISCO SYSTEMS, INC.","-44","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/11/28 18:57:40","-78.94177","36.00498"
"eduroam","D8:24:BD:A1:21:51","CISCO SYSTEMS, INC.","-44","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/11/28 18:57:40","-78.94177","36.00498"
"Dukeblue","D8:24:BD:A1:21:52","CISCO SYSTEMS, INC.","-45","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/11/28 18:57:40","-78.94177","36.00498"
"Dukeblue","D4:A0:2A:11:8A:B2","CISCO SYSTEMS, INC.","-57","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/11/28 18:57:40","-78.94177","36.00498"
"clubs","D4:A0:2A:11:8A:B4","CISCO SYSTEMS, INC.","-57","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/11/28 18:57:40","-78.94177","36.00498"
"eduroam","D4:A0:2A:11:8A:B1","CISCO SYSTEMS, INC.","-58","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/11/28 18:57:40","-78.94177","36.00498"
"eduroam","D4:A0:2A:15:8A:51","CISCO SYSTEMS, INC.","-77","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/11/28 18:57:40","-78.94177","36.00498"
"clubs","D4:A0:2A:15:8A:54","CISCO SYSTEMS, INC.","-75","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/11/28 18:57:40","-78.94177","36.00498"
"Dukeblue","D4:A0:2A:15:8A:52","CISCO SYSTEMS, INC.","-73","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/11/28 18:57:40","-78.94177","36.00498"
"eduroam","08:CC:68:DA:E2:31","Cisco","-85","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/11/28 18:57:40","-78.94177","36.00498"
"Dukeblue","08:CC:68:DA:E2:32","Cisco","-84","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/11/28 18:57:40","-78.94177","36.00498"
"BISmark","4C:60:DE:E6:B2:8F","NETGEAR","-81","2462","11","WPA2-PSK","CCMP","Infrastructure","No","2018/11/28 18:57:40","-78.94177","36.00498"
"clubs","08:CC:68:DA:E2:34","Cisco","-90","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/11/28 18:57:40","-78.94177","36.00498"
"clubs","D4:A0:2A:15:8A:44","CISCO SYSTEMS, INC.","-90","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/11/28 18:57:40","-78.94177","36.00498"
"Dukeblue","D4:A0:2A:15:8A:42","CISCO SYSTEMS, INC.","-93","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/11/28 18:57:40","-78.94177","36.00498"
"DukeVisitor","D8:24:BD:A1:21:53","CISCO SYSTEMS, INC.","-44","2412","1","None","None","Infrastructure","No","2018/11/28 18:57:40","-78.94177","36.00498"
"DukeOpen","D8:24:BD:A1:21:50","CISCO SYSTEMS, INC.","-43","2412","1","None","None","Infrastructure","No","2018/11/28 18:57:40","-78.94177","36.00498"
"DukeVisitor","D4:A0:2A:11:8A:B3","CISCO SYSTEMS, INC.","-57","2412","1","None","None","Infrastructure","No","2018/11/28 18:57:40","-78.94177","36.00498"
"DukeOpen","D4:A0:2A:11:8A:B0","CISCO SYSTEMS, INC.","-58","2412","1","None","None","Infrastructure","No","2018/11/28 18:57:40","-78.94177","36.00498"
"DukeVisitor","D4:A0:2A:15:8A:53","CISCO SYSTEMS, INC.","-77","2437","6","None","None","Infrastructure","No","2018/11/28 18:57:40","-78.94177","36.00498"
"DukeOpen","D4:A0:2A:15:8A:50","CISCO SYSTEMS, INC.","-75","2437","6","None","None","Infrastructure","No","2018/11/28 18:57:40","-78.94177","36.00498"
"DukeVisitor","08:CC:68:DA:E2:33","Cisco","-88","2412","1","None","None","Infrastructure","No","2018/11/28 18:57:40","-78.94177","36.00498"
"DukeOpen","08:CC:68:DA:E2:30","Cisco","-88","2412","1","None","None","Infrastructure","No","2018/11/28 18:57:40","-78.94177","36.00498"
"AreBelongToUs","E4:95:6E:42:05:91","","-76","2462","11","WPA2-PSK","CCMP","Infrastructure","No","2018/11/28 18:57:40","-78.94177","36.00498"
"BISmark","20:E5:2A:50:6F:D1","NETGEAR INC.,","-80","2462","11","None","None","Infrastructure","No","2018/11/28 18:57:39","-78.94177","36.00498"
