"Name","Address","Company","Signal Level","Frequency","Channel","Security","Cipher","BSS Type","WPS Support","Time","Longitude","Latitude"
"eduroam","00:81:C4:A4:FF:D1","","-71","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/1 18:23:49","-78.93805","36.00179"
"Dukeblue","00:81:C4:8F:1E:F3","","-74","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/1 18:23:48","-78.93805","36.00179"
"","00:81:C4:8F:1A:D4","","-74","2412","1","None","None","Infrastructure","No","2018/12/1 18:23:48","-78.93805","36.00179"
"DukeOpen","00:81:C4:A4:FF:D0","","-70","2437","6","None","None","Infrastructure","No","2018/12/1 18:23:49","-78.93805","36.00179"
"DukeVisitor","00:81:C4:A4:FF:D2","","-71","2437","6","None","None","Infrastructure","No","2018/12/1 18:23:49","-78.93805","36.00179"
"","00:81:C4:8F:1E:F4","","-78","2437","6","None","None","Infrastructure","No","2018/12/1 18:23:48","-78.93805","36.00179"
"DukeOpen","00:81:C4:8F:1E:F0","","-76","2437","6","None","None","Infrastructure","No","2018/12/1 18:23:48","-78.93805","36.00179"
"DukeVisitor","00:81:C4:C4:CB:92","","-83","2437","6","None","None","Infrastructure","No","2018/12/1 18:23:49","-78.93805","36.00179"
"Dukeblue","00:81:C4:88:2B:83","","-67","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/1 18:23:49","-78.93805","36.00179"
"eduroam","00:81:C4:8F:1A:D1","","-77","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/1 18:23:49","-78.93805","36.00179"
"DIRECT-MIAMELIAmsG5","1A:5E:0F:33:BA:DF","","-88","2412","1","WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/1 18:23:49","-78.93805","36.00179"
"","00:81:C4:88:2B:84","","-72","2462","11","None","None","Infrastructure","No","2018/12/1 18:23:49","-78.93805","36.00179"
"DukeOpen","00:81:C4:8F:1A:D0","","-75","2412","1","None","None","Infrastructure","No","2018/12/1 18:23:49","-78.93805","36.00179"
"Dukeblue","00:81:C4:A5:02:83","","-49","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/1 18:23:49","-78.93805","36.00179"
"eduroam","00:81:C4:A5:02:81","","-50","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/1 18:23:49","-78.93805","36.00179"
"Dukeblue","00:81:C4:C4:CB:03","","-67","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/1 18:23:49","-78.93805","36.00179"
"eduroam","00:81:C4:C4:CB:01","","-66","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/1 18:23:49","-78.93805","36.00179"
"eduroam","00:81:C4:88:2B:81","","-69","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/1 18:23:49","-78.93805","36.00179"
"Dukeblue","00:81:C4:8F:1A:D3","","-74","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/1 18:23:49","-78.93805","36.00179"
"Dukeblue","00:81:C4:A4:FF:D3","","-69","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/1 18:23:49","-78.93805","36.00179"
