"Name","Address","Company","Signal Level","Frequency","Channel","Security","Cipher","BSS Type","WPS Support","Time","Longitude","Latitude"
"95AE15-MX490series","00:BB:C1:95:AE:15","","-86","2422","3","WPA2-PSK","CCMP","Infrastructure","No","2018/12/9 21:52:18","-78.93694","35.99898"
"ECO-78070968","3A:2B:78:07:09:68","","-75","2437","6","None","None","Infrastructure","No","2018/12/9 21:51:55","-78.93694","35.99871"
"SkanskaWiFi","70:DF:2F:E1:19:90","","-75","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 21:50:56","-78.93724","35.99859"
"SkanGuest","70:DF:2F:E1:19:91","","-75","2412","1","WPA2-PSK","CCMP","Infrastructure","No","2018/12/9 21:52:08","-78.93691","35.99889"
"Scott's Wi-Fi Network","F0:D1:A9:0D:49:22","Apple","-85","2462","11","WPA2-PSK","CCMP","Infrastructure","No","2018/12/9 21:51:28","-78.93707","35.99857"
"","FA:8F:CA:7C:19:E3","","-70","2462","11","None","None","Infrastructure","No","2018/12/9 21:51:07","-78.93721","35.99855"
"DIRECT-cz-FireTV_4355","1A:74:2E:3A:75:63","","-76","2462","11","WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/9 21:51:31","-78.93701","35.99858"
"SkanGuest","70:DF:2F:E7:50:51","","-71","2462","11","WPA2-PSK","CCMP","Infrastructure","No","2018/12/9 21:50:59","-78.93724","35.99859"
"SkanskaWiFi","70:DF:2F:E7:50:50","","-72","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 21:51:10","-78.93721","35.99855"
"eduroam","00:42:5A:B1:49:81","","-69","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 21:49:53","-78.93718","35.99861"
"","C2:D2:F3:5D:CB:B6","","-83","2412","1","WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/9 21:50:51","-78.93724","35.99859"
"DukeVisitor","00:42:5A:B1:49:84","","-70","2462","11","None","None","Infrastructure","No","2018/12/9 21:49:56","-78.93714","35.99857"
"DukeOpen","00:42:5A:B1:49:80","","-70","2462","11","None","None","Infrastructure","No","2018/12/9 21:49:53","-78.93718","35.99861"
"eduroam","00:42:5A:B4:7F:21","","-77","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 21:49:49","-78.9372","35.99866"
"DukeOpen","00:42:5A:B4:7F:20","","-75","2437","6","None","None","Infrastructure","No","2018/12/9 21:49:49","-78.9372","35.99866"
"DukeVisitor","00:42:5A:B4:7F:24","","-76","2437","6","None","None","Infrastructure","No","2018/12/9 21:49:49","-78.9372","35.99866"
"SkanGuest","4C:77:6D:1A:A7:A1","","-85","2412","1","WPA2-PSK","CCMP","Infrastructure","No","2018/12/9 21:49:50","-78.9372","35.99866"
"SkanskaWiFi","4C:77:6D:1A:A7:A0","","-85","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 21:50:54","-78.93724","35.99859"
"DukeOpen","EC:E1:A9:81:27:70","Cisco","-77","2412","1","None","None","Infrastructure","No","2018/12/9 21:51:23","-78.93713","35.99855"
"DukeVisitor","EC:E1:A9:81:27:74","Cisco","-76","2412","1","None","None","Infrastructure","No","2018/12/9 21:51:23","-78.93713","35.99855"
"DIRECT-roku-713-33A3E5","74:DF:BF:09:84:B3","","-80","2462","11","WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/9 21:50:42","-78.93724","35.99859"
"eduroam","EC:E1:A9:81:27:71","Cisco","-77","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 21:50:39","-78.93724","35.99859"
"","EC:E1:A9:81:27:73","Cisco","-78","2412","1","None","None","Infrastructure","No","2018/12/9 21:50:49","-78.93724","35.99859"
"DukeVisitor","00:42:5A:B0:8D:64","","-78","2412","1","None","None","Infrastructure","No","2018/12/9 21:51:56","-78.93694","35.99871"
"eduroam","00:42:5A:B0:8D:61","","-78","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 21:51:56","-78.93694","35.99871"
"DukeOpen","00:42:5A:B0:8D:60","","-77","2412","1","None","None","Infrastructure","No","2018/12/9 21:52:08","-78.93691","35.99889"
"Crestron Control","88:DC:96:0E:50:60","SENAO Networks, Inc.","-76","2437","6","WPA-PSK","TKIP + CCMP","Infrastructure","No","2018/12/9 21:52:15","-78.93692","35.99893"
"","C2:D2:F3:7D:98:71","","-93","2412","1","WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/9 21:52:15","-78.93692","35.99893"
"eduroam","00:42:5A:B2:8D:61","","-75","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 21:52:17","-78.93694","35.99898"
"DIRECT-AC-FireTV_1239","B6:7C:9C:F1:15:51","","-86","2437","6","WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/9 21:52:47","-78.93697","35.99903"
"DukeVisitor","00:42:5A:B2:8D:64","","-75","2462","11","None","None","Infrastructure","No","2018/12/9 21:52:17","-78.93694","35.99898"
"DukeOpen","00:42:5A:B2:8D:60","","-75","2462","11","None","None","Infrastructure","No","2018/12/9 21:52:17","-78.93694","35.99898"
"DukeVisitor","00:A3:8E:4C:A0:84","","-70","2437","6","None","None","Infrastructure","No","2018/12/9 21:52:48","-78.93697","35.99903"
"eduroam","00:A3:8E:4C:A0:81","","-70","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 21:52:50","-78.93697","35.99903"
"DukeOpen","00:A3:8E:4C:A0:80","","-71","2437","6","None","None","Infrastructure","No","2018/12/9 21:52:53","-78.93697","35.99903"
"eduroam","00:42:5A:B0:94:C1","","-78","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 21:52:36","-78.93697","35.99903"
"DukeOpen","00:42:5A:B0:94:C0","","-77","2437","6","None","None","Infrastructure","No","2018/12/9 21:52:34","-78.93697","35.99903"
"DukeVisitor","00:42:5A:B0:94:C4","","-78","2437","6","None","None","Infrastructure","No","2018/12/9 21:52:50","-78.93697","35.99903"
"DukeVisitor","A4:18:75:19:D7:B4","CISCO SYSTEMS, INC.","-79","2462","11","None","None","Infrastructure","No","2018/12/9 21:52:42","-78.93697","35.99903"
"DukeVisitor","38:0E:4D:72:C8:A4","","-82","2412","1","None","None","Infrastructure","No","2018/12/9 21:52:53","-78.93697","35.99903"
"eduroam","38:0E:4D:72:C8:A1","","-80","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/9 21:52:53","-78.93697","35.99903"
"DukeOpen","38:0E:4D:72:C8:A0","","-80","2412","1","None","None","Infrastructure","No","2018/12/9 21:52:53","-78.93697","35.99903"
