"Name","Address","Company","Signal Level","Frequency","Channel","Security","Cipher","BSS Type","WPS Support","Time","Longitude","Latitude"
"PDCOBAN","F4:7F:35:5E:99:20","CISCO SYSTEMS, INC.","-62","2437","6","WPA2-PSK","CCMP","Infrastructure","No","2018/12/12 13:22:27","-78.92479","36.00483"
"269","00:30:44:29:E9:CF","CradlePoint, Inc","-72","2462","11","WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/12 13:22:27","-78.92479","36.00483"
"ClickShare-502","28:24:FF:72:BA:E5","","-85","2412","1","WPA2-PSK","CCMP","Infrastructure","No","2018/12/12 13:22:27","-78.92479","36.00483"
"eduroam","00:C1:64:85:5C:81","","-85","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/12 13:22:27","-78.92479","36.00483"
"DIRECT-44-HP ENVY 4520 series","B0:5A:DA:F4:41:46","","-88","2437","6","WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/12 13:22:27","-78.92479","36.00483"
"DIRECT-72-HP ENVY 7640 series","C8:D3:FF:C5:32:73","","-89","2437","6","WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/12 13:22:27","-78.92479","36.00483"
"DukeVisitor","00:C1:64:85:5C:83","","-90","2437","6","None","None","Infrastructure","No","2018/12/12 13:22:27","-78.92479","36.00483"
"","00:C8:8B:F0:C5:34","","-92","2412","1","None","None","Infrastructure","No","2018/12/12 13:22:27","-78.92479","36.00483"
"eduroam","00:42:68:AE:36:61","","-79","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/12 13:22:30","-78.92471","36.00505"
"eduroam","00:C1:64:DE:F2:71","","-81","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/12 13:22:30","-78.92471","36.00505"
"eduroam","08:CC:68:63:89:C1","Cisco","-82","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/12 13:22:30","-78.92471","36.00505"
"Dukeblue","08:CC:68:63:89:C2","Cisco","-88","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/12 13:22:34","-78.92465","36.00523"
"eduroam","00:C8:8B:F0:C5:B1","","-87","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/12 13:22:30","-78.92471","36.00505"
