"Name","Address","Company","Signal Level","Frequency","Channel","Security","Cipher","BSS Type","WPS Support","Time","Longitude","Latitude"
"Linksys327","60:38:E0:D7:9B:30","","-26","2452","9","WPA-PSK + WPA2-PSK","TKIP + CCMP","Infrastructure","Yes","2018/12/7 22:56:06","-78.92195","36.00306"
"WiFieri","60:38:E0:D7:DB:E4","","-33","2457","10","WPA-PSK + WPA2-PSK","TKIP + CCMP","Infrastructure","Yes","2018/12/7 22:55:59","-78.92195","36.00306"
"Linksys02272","60:38:E0:D7:AD:30","","-57","2427","4","WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/7 11:40:11","-78.9223","36.00293"
"Linksys19303","60:38:E0:D9:78:62","","-42","2462","11","WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/7 22:56:06","-78.92195","36.00306"
"414","60:38:E0:D7:E0:7C","","-62","2437","6","WPA-PSK + WPA2-PSK","TKIP + CCMP","Infrastructure","Yes","2018/12/7 11:40:10","-78.9223","36.00293"
"Swifty 229","60:38:E0:D7:BF:C0","","-51","2452","9","WPA-PSK + WPA2-PSK","TKIP + CCMP","Infrastructure","Yes","2018/12/7 22:56:06","-78.92195","36.00306"
"Linksys02581","60:38:E0:D7:B2:04","","-52","2432","5","WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/7 11:40:09","-78.9223","36.00293"
"Clout Factory","60:38:E0:DB:17:63","","-60","2412","1","WPA-PSK + WPA2-PSK","TKIP + CCMP","Infrastructure","Yes","2018/12/7 22:56:01","-78.92195","36.00306"
"Linksys00916","60:38:E0:D7:98:00","","-67","2412","1","WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/7 22:56:06","-78.92195","36.00306"
"WIFIF99714","D8:0F:99:F9:97:17","","-86","2412","1","WPA2-PSK","CCMP","Infrastructure","Yes","2018/12/7 11:40:11","-78.9223","36.00293"
"The Bakery","60:38:E0:D7:C3:FC","","-91","2427","4","WPA-PSK + WPA2-PSK","TKIP + CCMP","Infrastructure","Yes","2018/12/7 11:40:11","-78.9223","36.00293"
"Linksys327-guest","62:38:E0:D4:9B:30","","-26","2452","9","None","None","Infrastructure","No","2018/12/7 22:56:06","-78.92195","36.00306"
"WiFieri-guest","62:38:E0:D4:DB:E4","","-41","2457","10","None","None","Infrastructure","No","2018/12/7 22:56:01","-78.92195","36.00306"
"misskeisha","B0:6E:BF:DA:48:48","","-52","2437","6","None","None","Infrastructure","Yes","2018/12/7 11:40:09","-78.9223","36.00293"
"Linksys02272-guest","62:38:E0:D4:AD:30","","-60","2427","4","None","None","Infrastructure","No","2018/12/7 11:40:11","-78.9223","36.00293"
"Clout Factory-guest","62:38:E0:D8:17:63","","-65","2412","1","None","None","Infrastructure","No","2018/12/7 22:56:02","-78.92195","36.00306"
"Linksys18478-guest","62:38:E0:D8:6B:7E","","-64","2452","9","None","None","Infrastructure","No","2018/12/7 22:56:01","-78.92195","36.00306"
