"Name","Address","Company","Signal Level","Frequency","Channel","Security","Cipher","BSS Type","WPS Support","Time","Longitude","Latitude"
"Dukeblue","C4:0A:CB:EB:1D:63","CISCO SYSTEMS, INC.","-72","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 10:21:40","-78.93989","36.00066"
"Dukeblue","2C:D0:2D:11:B5:63","","-68","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 10:21:51","-78.93972","36.00055"
"eduroam","70:7D:B9:E9:2B:61","","-81","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 10:21:39","-78.93989","36.00066"
"Dukeblue","70:7D:B9:E9:2B:63","","-79","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 10:21:41","-78.9398","36.00061"
"eduroam","2C:D0:2D:11:B5:61","","-72","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 10:21:50","-78.93972","36.00055"
"DukeVisitor","2C:D0:2D:11:B5:64","","-68","2412","1","None","None","Infrastructure","No","2018/12/10 10:21:50","-78.93972","36.00055"
"DukeOpen","70:7D:B9:E9:2B:60","","-80","2412","1","None","None","Infrastructure","No","2018/12/10 10:21:41","-78.9398","36.00061"
"DukeOpen","2C:D0:2D:11:B5:60","","-70","2412","1","None","None","Infrastructure","No","2018/12/10 10:21:51","-78.93972","36.00055"
"","70:7D:B9:E9:2B:62","","-69","2412","1","None","None","Infrastructure","No","2018/12/10 10:21:40","-78.93989","36.00066"
"DukeVisitor","70:7D:B9:E9:2B:64","","-79","2412","1","None","None","Infrastructure","No","2018/12/10 10:21:41","-78.9398","36.00061"
"eduroam","A0:23:9F:B4:95:41","","-78","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 10:21:40","-78.93989","36.00066"
"Dukeblue","A0:23:9F:B4:95:43","","-62","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 10:21:40","-78.93989","36.00066"
"eduroam","70:7D:B9:E9:2B:81","","-82","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 10:21:48","-78.93975","36.0006"
"Dukeblue","70:7D:B9:E9:2B:83","","-83","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 10:21:41","-78.9398","36.00061"
"Dukeblue","A0:23:9F:F9:A0:63","","-76","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 10:21:40","-78.93989","36.00066"
"eduroam","2C:D0:2D:11:B7:21","","-59","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 10:21:40","-78.93989","36.00066"
"Dukeblue","2C:D0:2D:11:B7:23","","-58","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 10:21:40","-78.93989","36.00066"
"eduroam","A0:23:9F:F9:A0:61","","-76","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 10:21:40","-78.93989","36.00066"
"eduroam","70:7D:B9:E9:24:21","","-80","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 10:23:03","-78.94017","36.00006"
"eduroam","A0:23:9F:B4:93:81","","-79","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 10:21:55","-78.93972","36.00055"
"Dukeblue","70:7D:B9:E9:24:23","","-76","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/12/10 10:21:40","-78.93989","36.00066"
"DukeVisitor","A0:23:9F:B4:95:44","","-61","2437","6","None","None","Infrastructure","No","2018/12/10 10:21:40","-78.93989","36.00066"
"DukeOpen","A0:23:9F:B4:95:40","","-72","2437","6","None","None","Infrastructure","No","2018/12/10 10:21:40","-78.93989","36.00066"
"DukeVisitor","70:7D:B9:E9:24:24","","-80","2437","6","None","None","Infrastructure","No","2018/12/10 10:21:45","-78.93975","36.0006"
